,date,title,article,thumbnail,url,author
0,"May 20, 2022",Astellas Confirms Unfavorable District Court Decision  in LEXISCAN® 0.4mg/mL U.S. Patent Trial,Search,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25706,Astellas
1,"May 19, 2022",Astellas Analysis Shows No Evidence of Increased Risk of Cardiovascular Events or Mortality with Roxadustat Compared with Erythropoiesis-Stimulating Agents (ESAs) at 59th ERA Congress 2022,"The Focus Area, where we put our efforts, consists of combinations of three components: 1) biology, 2) modality/technology, 3) diseases.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25831,Astellas
2,"May 16, 2022",Astellas to Present New Research Further Supporting Roxadustat Safety in the Treatment of Symptomatic Anemia of Chronic Kidney Disease at 59th ERA Congress 2022,"Astellas monitors Focus Areas from biology perspectives, modality/technology, and disease to identify promising areas for investment.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25821,Astellas
3,"May 13, 2022",Astellas Highlights Data on Advanced and Rare Cancers during 2022 ASCO Annual Meeting and EHA 2022 Hybrid Congress,"To identify and prioritize the issues that are most important to society and our business, we carry out a materiality assessment and use it...",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25816,Astellas
4,"May 12, 2022",Notice Regarding Continuation of the Performance-linked Stock Compensation Scheme and Performance-linked Stock Delivery Scheme for the Domestic and Global Astellas Group Executives,"Stories about how Astellas members work to create innovation, as well as achieve business and sustainability strategic goals.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/system/files/news/2022-05/20220512_en_2.pdf,Astellas
5,"May 12, 2022",Notice Regarding Continuation of the Performance-linked Stock Compensation Scheme,"This website contains information about products that may not be available in all countries, or may be available under different trademarks, for different indications, or in different dosages. Nothing contained herein should be considered a solicitation, promotion or advertisement for any drug including the ones under development on this web site.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/system/files/news/2022-05/20220512_en_1.pdf,Astellas
6,"May 09, 2022",We renovated our recruitment site.,Any information on the products contained herein is not intended to provide medical advice nor should be used as a substitute for the advice provided by your physician or other healthcare provider.,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25801,Astellas
7,"May 09, 2022",We published a story: “Astellas DX Strategy Series Vol.1: Utilizing DX to Create and Maximize VALUE for Patients.”,"In this Website, information called Cookies are stored in the PC used to browse this site, for the purpose of providing better content. Please read our Terms of Use for more information on our use of cookies. By using this site, you accept our use of cookies.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25796,Astellas
8,"May 06, 2022",Astellas to Present 12-Week Data from Pivotal Phase 3 SKYLIGHT 1™ Trial of Fezolinetant in Oral Session at the American College of Obstetricians and Gynecologists Annual Meeting,"TOKYO, May 20, 2022 – Astellas Pharma Inc. (TSE: 4503, President and CEO: Kenji Yasukawa, Ph.D., “Astellas”) today confirmed the U.S. District Court for the District of Delaware ruling that all asserted claims of the 8,106,183; 8, 524,883; and RE47301 patents for LEXISCAN® (regadenoson injection) 0.4 mg/mL are not infringed. The patent infringement trial involved one Abbreviated New Drug Application (ANDA) filer, Hospira, Inc.  Hospira is requesting permission from FDA to manufacture and commercialize a generic LEXISCAN® product before expiration of the LEXISCAN® patents.  Astellas plans to appeal the decision and to take legal action to prevent Hospira from launching generic LEXISCAN® pending resolution of the appeal.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25781,Astellas
9,"Apr 27, 2022",Changes of Representative Director and Directors,"Astellas is reviewing the potential financial impacts of this district court decision for the fiscal year ending March 31, 2023.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/system/files/news/2022-04/20220427_en_1.pdf,Astellas
10,"Apr 27, 2022",Posted Financial Results for FY2021,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25736,Astellas
11,"Apr 25, 2022","University of Tokyo, Astellas Enter Second Phase of Strategic Partnership for Co-creation of Innovative New Medicines and Medical Solutions",Click below for a copy of the full press release,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25746,Astellas
12,"Apr 22, 2022",Notice Regarding Impairment Loss for Products under Development,Follow us on social media,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25731,Astellas
13,"Apr 14, 2022",European Commission Approves PADCEV™ (enfortumab vedotin) for Locally Advanced or Metastatic Urothelial Cancer,Search,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25711,Astellas
14,"Apr 05, 2022",We published a new Sustainability Section: “Developing a sustainable society by leveraging Astellas’ strengths and capabilities”,"The Focus Area, where we put our efforts, consists of combinations of three components: 1) biology, 2) modality/technology, 3) diseases.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25696,Astellas
15,"Apr 01, 2022",We published a Drug Research page.,"Astellas monitors Focus Areas from biology perspectives, modality/technology, and disease to identify promising areas for investment.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25681,Astellas
16,"Mar 15, 2022",Astellas Announces Topline 12-week Results from Phase 3 Study of Fezolinetant for the Nonhormonal Treatment of Vasomotor Symptoms in Women in Asia,"To identify and prioritize the issues that are most important to society and our business, we carry out a materiality assessment and use it...",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25421,Astellas
17,"Mar 14, 2022",We published a story: “Reinvigorating the immune system to find new ways to cure cancer.”,"Stories about how Astellas members work to create innovation, as well as achieve business and sustainability strategic goals.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25406,Astellas
18,"Mar 10, 2022","Astellas Announces Completion of Acquisition of Own Shares, and Cancellation of Treasury Stock","This website contains information about products that may not be available in all countries, or may be available under different trademarks, for different indications, or in different dosages. Nothing contained herein should be considered a solicitation, promotion or advertisement for any drug including the ones under development on this web site.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25381,Astellas
19,"Mar 09, 2022",UPDATE ON UKRAINE,Any information on the products contained herein is not intended to provide medical advice nor should be used as a substitute for the advice provided by your physician or other healthcare provider.,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25326,Astellas
20,"Mar 09, 2022",Updated “R&D meeting” Section,"In this Website, information called Cookies are stored in the PC used to browse this site, for the purpose of providing better content. Please read our Terms of Use for more information on our use of cookies. By using this site, you accept our use of cookies.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25356,Astellas
21,"Mar 07, 2022",Astellas Announces Topline Results from Long-Term Phase 3 Safety Study of Fezolinetant which Inform Future Regulatory Filings for the Treatment of Vasomotor Symptoms Associated with Menopause,"Pooled Phase 3 data for anemia of CKD patients, incident dialysis or not receiving dialysis from the ALPINE Phase 3 clinical trial program",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25321,Astellas
