Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
Construction of Drain at Isheri North Residential Scheme,OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202227527413,"₦82,162,781.28",F. O ENGINNERING LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",35,2022,ONGOING,,"Tuesday, June 28, 2022",2022-06-30,"ISHERI, LAGOS"
"Construction of a Block of 18 Classroom & Admin Block on Pad Foundation at State Comprehensive Junior College, Alimosho (Education District I)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202261436234,"₦290,496,822.78",INVESTRITE LIMITED,Private Organization,"₦250,000,001 and above",36,2021,ONGOING,,"Tuesday, November 2, 2021",2022-06-30,ALIMOSHO
"Emergency Renovation of (i) New Raft Fence (ii) Rehabilitation of Existing Fence at Salvation Army Primary School, Sabo, Ikorodu (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202207437525,"₦17,222,975.33",DASILVABELL NIGERIA LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,ONGOING,,"Wednesday, October 20, 2021",2022-06-30,IKORODU
"EMERGENCY RENOVATION OF 18 CUBICLE TOILET AT OLUWA MEMORIAL JUNIOR HIGH SCHOOL, AJEGUNLE (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202242366585,"₦16,909,708.61",DE-DJONG CONCEPT LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",32,2021,ONGOING,,"Wednesday, October 20, 2021",2022-06-30,AJEGUNLE
"construction of a block of 18 classroom & admin block on raft foundation at agboju senior secondary school, agboju ojo (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202204711017,"₦300,709,940.46",CALMAR LIMITED,Private Organization,"₦250,000,001 and above",43,2021,ONGOING,,"Friday, October 8, 2021",2022-06-30,"Agboju, Ojo"
"Emergency CONSTRUCTION OF 8 CUBICLE TOILET AT LOCAL AUTHORITY IBEREKO, BADAGRY (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202287303270,"₦12,105,486.99",F. O ENGINNERING LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,ONGOING,,"Wednesday, October 20, 2021",2022-06-30,BADAGRY
"Construction of Gatehouse on raft foundation , construction of perimeter fence on Inverted ""T"" Ground Beam (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202228085400,"₦96,788,180.71",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",43,2021,ONGOING,,"Friday, July 30, 2021",2022-06-30,LAGOS STATE
"Renovation of 17 + 1 Classroom Block at Low Cost Housing Estate Primary 1& 2, Ejigbo. (Education District Vi)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202266542677,"₦21,223,923.88",KRANES PROJECTS,Private Organization,"₦200,000,001 to ₦250,000,000",43,2021,ONGOING,,"Monday, August 23, 2021",2022-06-30,EJIGBO
"Construction of Gate House and Perimeter Fence (450m Long) at Toghli Community Grammar School Badagry, Lagos State (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202253567028,"₦53,814,605.32",WORKMOOD NIGERIA LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",25,2021,ONGOING,,"Monday, August 23, 2021",2022-06-30,BADAGRY
RENOVATION OF 3NO (4 CLASSROOM BLOCK) & PROPOSED EXTERNAL WORKS AT ODI-OLOWO PRIMARY SCHOOL (EDUCATION DISTRICT VI),SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202218128506,"₦63,825,628.20",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",43,2021,ONGOING,,"Tuesday, August 24, 2021",2022-06-30,ODI-OLOWO
"Renovation of 5 Classroom, Office Block, 10 Cubicle Toilets, and Walkway Linking all the School Blocks at Ogooluwa Nursery and Primary School, Gbagada (EDUCATION DISTRICT II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202231785822,"₦31,805,957.92",KRANES PROJECTS,Private Organization,"₦200,000,001 to ₦250,000,000",43,2021,ONGOING,,"Tuesday, August 24, 2021",2022-06-30,GBAGADA
"the renovation of Oke Ira Senior Grammar School, Ojodu (Education District VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202203716558,"₦47,012,408.91",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",43,2021,ONGOING,,"Friday, May 7, 2021",2022-06-30,OJODU
"The (i) Renovation of Mafoluku Senior Grammar Secondary School Oshodi, (ii) Renovation of St Joseph Junior Secondary School Mushin, (iii) Renovation of Egbe Junior High School Oshodi Isolo",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202260416871,"₦108,468,218.10",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",43,2021,"MUSHIN, ISOLO",,"Friday, March 19, 2021",2022-06-29,Unspecified
"Engagement of External Auditor for Year 2020, 2021 and 2022",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202268357046,"₦4,013,000.00",LEKAN LASISI & CO,Private Organization,"₦25,000,001 to ₦50,000,000",25,2022,ONGOING,,"Thursday, March 31, 2022",2022-06-29,LAGOS STATE
Construction of Soremekun/Abeokuta street/Labinjo/Adeyanju/Wilkey/Folami Streets Mushin,OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202253001242,"₦9,944,000.00",AMAZE MULTILINKS NIGERIA,Private Organization,"₦25,000,001 to ₦50,000,000",35,2022,ON-GOING,,"Tuesday, June 28, 2022",2022-06-29,"MUSHIN,LAGOS"
"Construction  of Drain at Marda Barrack, Herbert Macaulay",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202237128700,"₦599,539,381.98",WALLWAYS TECH. LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, June 28, 2022",2022-06-29,"HERBERT MACAULAY, LAGOS"
"Lining of CMD Shangisha Channel, Ikosi Ketu",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202230384272,"₦573,040,838.69",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Private Organization,,0,2022,ON-GOING,,"Tuesday, June 28, 2022",2022-06-29,"IKOSI KETU, LAGOS"
Construction of Orisunbare/Okanle/MMA International Airport Collector Drain,OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202264506705,"₦125,398,131.64",PELIGROS UNIVERSAL CONCEPTS 2,Private Organization,,0,2022,ON-GOING,,"Tuesday, June 28, 2022",2022-06-29,"OKANLE, LAGOS"
"Construction of Drain to Deflood Esate Primary School, Ogba Junior Secondary School, Ogba, Ikeja, Lagos",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202282812813,"₦112,230,050.00",METCLUX NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, June 28, 2022",2022-06-29,"OGBA, LAGOS"
"Construction of Omogunwa Collector Drain, Ejigbo",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202270786155,"₦213,952,453.37",DOMINANT ENGINEERING LTD,Private Organization,,0,2022,ONGOING,,"Tuesday, June 28, 2022",2022-06-29,"EJIGBO, LAGOS."
"CONSTRUCTION OF GATE HOUSE AND SECURITY OFFICE AT LAGOS STATE UNIVERSITY OF EDUCATION(LASUED), OTO IJANIKIN MAIN CAMPUS AND NOFORIJA, EPE CAMPUS LAGOS.",OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202216283785,"₦55,897,631.30",F B WALSEM GLOBAL VENTURES,Private Organization,,0,2022,ON-GOING,,"Tuesday, June 7, 2022",2022-06-29,"EPE, LAGOS"
"CONSTRUCTION OF GATE HOUSE AND SECURITY OFFICE AT LAGOS STATE UNIVERSITY OF EDUCATION(LASUED), OTO IJANIKIN MAIN CAMPUS AND NOFORIJA, EPE CAMPUS LAGOS.",OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202245110123,"₦55,897,631.30",F B WALSEM GLOBAL VENTURES,Private Organization,,0,2022,ONGOING,,"Tuesday, June 7, 2022",2022-06-29,"EPE, LAGOS"
REHABILITATION / UPGRADING OF 50 NOS PUBLIC LIBRARIES IN LAGOS SECONDARY SCHOOLS (PHASE 1),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202220081576,"₦285,000,000.00",ACCURATE STREAM NIG LIMITED,Private Organization,,0,2022,ONGOING,,"Monday, June 6, 2022",2022-06-29,"IKEJA, LAGOS"
