File,Contracting_Authority,Bid_Status,Object_of_the_contract,Bidding_base_budget_without_taxes,Estimated_value_of_the_contract,Type_of_contract,CPV_code,Place_of_execution,Hiring_procedure,F_last_updated_date,URL
29606/22,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P.",Resuelta,"Suministro e instalación de tres equipos cromatógrafos de líquidos de ultra alta resolución destinados al Instituto de Química Médica, Instituto de Investigaciones Químicas e Instituto de Química Avanzada de Cataluña.","468,000.00   Euros","468,000.00   Euros",Suministros,38432200-Cromatógrafos.,España - España,Abierto,15-08-2022 12:30,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
ST2022-0-09,Hospital Universitario Ramón y Cajal,Evaluación,"Trabajos de renovación de fontanería, aparatos sanitarios, gases medicinales, climatización, ventilación, extracción e instalaciones especiales del Área de Psiquiatría de la 8 Centro del Hospital Universitario Ramón y Cajal.","497,724.76   Euros","497,724.76   Euros",Obras,"45330000 Trabajos de fontanería., 45331000 Trabajos de instalación de calefacción, ventilación y aire acondicionado.",España - Madrid,Abierto simplificado,15-08-2022 11:40,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
2022/ETSAE0904/00000212E,"Sección de Asuntos Económicos de la Jefatura Sistemas de Información, Telecomunicaciones y Asistencia Técnica",Resuelta,Asistencia técnica al RT22 en materia de PRL y Normativa de Calidad y Medio Ambiente,"49,586.78   Euros","109,090.91   Euros",Servicios,71356300-Servicios de apoyo técnico.,España - Madrid - Madrid,Abierto simplificado,15-08-2022 11:27,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
2022/02115,Director Gerente,Evaluación,"Suministro e instalación de equipos de producción de climatización de los CS de La Peña y Otxarkoaga, OSI Bilbao Basurto","178,920.00   Euros","178,920.00   Euros",Suministros,42512300 Unidades de climatización.,España - Bizkaia,Abierto,15-08-2022 11:10,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
CN-13/2022,"Regidoria Delegada d'Hisenda, Contractació i Estadística l'Ajuntament d'Alcúdia",Publicada,"El objeto del contrato es la prestación del servicio de reparación de viales, aceras y elementos de redes de drenaje de aguas pluviales del término municipal de Alcudia que se devenguen durante la vigencia del contrato y de las posibles prórrogas que se prevén.","653,740.69   Euros","1,568,976.48   Euros",Servicios,"50230000-Servicios de reparación, mantenimiento y servicios asociados relacionados con carreteras y otros equipos., 45231300-Trabajos de construcción de tuberías para agua y aguas residuales., 45233200-Trabajos diversos de pavimentación.",España - Mallorca,Abierto,15-08-2022 11:09,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
597/2022 interpretacion,Alcaldía del Concello de Muras,Publicada,Mellora da eficiencia enerxética no Centro de Interpretación Medioambiental,"46,487.65   Euros","58,207.22   Euros",Obras,"45321000-Trabajos de aislamiento térmico., 45421100-Instalación de puertas, ventanas y elementos conexos.",España - Lugo,Abierto simplificado,15-08-2022 11:09,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
CN-03/2022,"Regidoria Delegada d'Hisenda, Contractació i Estadística l'Ajuntament d'Alcúdia",Publicada,"El contrato tiene por objeto la adquisición de un aplicativo informático para disponer de la plataforma de administración electrónica y gestión de expedientes, así como los servicios de mantenimiento, actualización y adaptación del mismo a las necesidades del Ayuntamiento de Alcudia y del Consorcio de la Ciudad Romana de Pol·lèntia.","314,400.00   Euros","314,400.00   Euros",Servicios,"72000000-Servicios TI: consultoría, desarrollo de software, Internet y apoyo., 48311100-Sistema de gestión de documentos., 72512000-Servicios de gestión de documentos.",España - Mallorca - Alcúdia,Abierto,15-08-2022 11:08,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
ASIMPL-09-2022,Presidencia del Organismo Autónomo de la Excma. Diputación Provincial de Alicante Instituto Alicantino de Cultura Juan Gil-Albert,Publicada,"Servicio de diseño, maquetación, impresión y encuadernación de los premios de ayuntamientos, de la revista Canelobre y catálogo de arte (EAC) del Instituto Alicantino de Cultura Juan Gil-Albert por lotes para la anualidad 2022","47,640.00   Euros","47,640.00   Euros",Servicios,"79810000-Servicios de impresión., 79520000-Servicios de reprografía., 79800000-Servicios de impresión y servicios conexos., 79811000-Servicios de impresión digital.",España - Alicante/Alacant - Alicante,Abierto simplificado,15-08-2022 11:06,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
1291/2022,Junta de Gobierno Local del Ayuntamiento de Sotillo de la Adrada,Resuelta,"Obras del Plan de Asfaltado 2022: Camino de Las Cerquillas, Calle Claudio Sánchez Albornoz, Calle Pasada y Parque de Sotillo de la Adrada (Ávila), por procedimiento abierto simplificado sumario o abreviado.","78,512.39   Euros","78,512.39   Euros",Obras,45233222-Trabajos de pavimentación y asfaltado.,España - Ávila,Abierto simplificado,15-08-2022 09:32,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
55/T/22/SU/GE/A/C01,Dirección Gerente del Hospital Universitario Nuestra Señora de Candelaria,Publicada,"Suministro, instalación, integración y formación de 18 estaciones de anestesia para el Complejo Hospitalario Nuestra Señora de Candelaria","620,376.00   Euros","620,376.00   Euros",Suministros,33172100-Aparatos para anestesia.,España - Canarias,Abierto,15-08-2022 09:31,https://contrataciondelestado.es/wps/portal/!ut/p/b1/jY7LDoIwFES_xS-4lxYKLHmVQlBQHtpuSBfGYHhsjN9vNW5FZjfJOZkBBdJijFBkrodwATXr53DTj2GZ9fjuivV2UkYRFwS9msZIirhtmTA1dQwg1wCyzXdoZHd5V7E6SxEzweOitRyjs20-_kiA__wzqHWEfIG1ix9g5cNBLNMVpMHcPuiSY5D5FMvwZIbyat9UKbEQbWhAhjCpkXM_u9s62L0AOCO6Ow!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0JTODhBQjFBMEdTTTEwQTZFMzY1MjAxR1My/
