Ministry,Division,Organization,Procuring_Entity_Name,Procuring_Entity_Code,Procuring_Entity_District,Procurement_Nature,Procurement_Type,Event_Type,Invitation_for,Invitation_Reference_No,Tender_Proposal_Status,App_ID,Tender_Proposal_ID,Procurement_Method,Budget_Type,Source_of_Funds,Project_Code,Project_Name,Tender_Proposal_Package_No_and_Description,Category,Scheduled_Tender_Proposal_Publication_Date_and_Time,Tender_Proposal_Document_last_selling_downloading_Date_and_Time,Pre_Tender_Proposal_meeting_Start_Date_and_Time,Pre_Tender_Proposal_meeting_End_Date_and_Time,Tender_Proposal_Closing_Date_and_Time,Tender_Proposal_Opening_Date_and_Time,Last_Date_and_Time_for_Tender_Proposal_Security_Submission,Eligibility_of_Tenderer,Brief_Description_of_Works,Evaluation_Type,Document_Available,Document_Fees,Tender_Proposal_Document_Price_In_BDT,Mode_of_Payment,Tender_Proposal_Security_Valid_Up_to,Tender_Proposal_Valid_Up_to,Name_of_Official_Inviting_Tender_Proposal,Designation_of_Official_Inviting_Tender_Proposal,Address,City,Thana,District,Country,Phone_No,Fax_No,url
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,Dhaka South City Corporation,Director Mohanagar General Hospital,PE 0010,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,46.207.047.11.03.150.2012,Live,176242,701088,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"egp/dscc/dmgh/2021-2022/001/006 Supply of urgently needed goods for the financial year 2021-2022 to Department of Gynecology and Obstetrics, Radiology and Imaging of Dhaka Mohanagar General Hospital.","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks",27-Jun-2022 17:00,12-Jul-2022 17:00,28-Jun-2022 10:00,28-Jun-2022 11:00,13-Jul-2022 14:00,13-Jul-2022 14:00,13-Jul-2022 13:00,As per TDS,"Supply of urgently needed goods for the financial year 2021-2022 to Department of Gynecology and Obstetrics, Radiology and Imaging of Dhaka Mohanagar General Hospital.",Lot wise,Package wise,Package wise,1000,Payment through Bank,08-Dec-2022,10-Nov-2022,Dr. Shameem Al Mamun,Director,"Noyabazar, Dhaka",Dhaka,Chawkbazar,Dhaka - 1211,Bangladesh,02-57390267,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),Jamuna Fertilizer Company Limited (Commercial Division),,Jamalpur,Goods,NCT,TENDER,Tender - Single Lot,JFCL/LP/E AND I/ELECT./5.787,Live,176337,705746,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,JFCL/LP/E AND I/ELECT./5.787 Ceiling Fan,"Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",27-Jun-2022 17:00,17-Jul-2022 12:00,28-Jun-2022 15:06,13-Jul-2022 10:00,18-Jul-2022 11:00,18-Jul-2022 11:00,17-Jul-2022 16:00,OTM AS PER STD,150 Nos.Ceiling Fan,Lot wise,Package wise,Package wise,500,Payment through Bank,13-Nov-2022,16-Oct-2022,A.K.M Anisuzzaman,General Manager(Comm),"General Manager (Commercial) Jamuna Fertilizer Company Limited Tarakandi, Sarishabari, Jamalpur-2055",Jamalpur,Sarishabari,Jamalpur - 2055,Bangladesh,0751-63881,0751-63889,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Housing and Public Works,,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Superintending Engineer (Electrical),,Dhaka,Works,NCT,TENDER,Tender - Single Lot,Rajuk/Electrical-1/21/W-05,Live,184613,704135,Open Tendering Method (OTM),Own Fund,Own fund,Xen/Electrical/Repair and maintenance1819,Lift and Electrical Equipement Repare,"Rajuk/Electrical-1/21/W-05 03 (Three) Years Servicing, Operation & Maintenance of 04 Nos Passenger Lift at Rajuk.","Electrical equipment and apparatus; Electrical machinery, apparatus, equipment and consumables;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories",27-Jun-2022 17:00,17-Jul-2022 16:00,27-Jun-2022 18:00,05-Jul-2022 16:00,18-Jul-2022 12:00,18-Jul-2022 12:00,18-Jul-2022 11:00,"This invitation for Tender is Open to Reputed bonafied Firm/ Organization/ Manufacturer/ Authorized Agent as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document. (a) The Tenderer having minimum 05 ( Five) years experience of Operation & Maintenance of (SIGMA Brand) Lift. ( years counting backward from the date of Publication of IFT in the Newspaper). (b) The Tenderer shall have successfully Completed of (SIGMA Brand) Lift Operation, Servicing and Maintenance Works of minimum amount Tk.18.00 (Eighteen) Lacs single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall beTk.15.00 Lacs only. d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2016-2017, 2017-2018 , 2018-2019, 2019-2020, 2020-2021 ) average Annual Turnover should be required minimum amount Tk.15.00 ( Fifteen) Lacs. e) Electrical ABC Supervisory & Contractory License (Up to Date). f) The Tenderer must have Income Tax clearance Certificate (2020-2021). g) The Tenderer must have VAT/BIN Registration Certificate. h) The Tenderer must have valid Trade License (2021-2022)","03 (Three) Years Servicing, Operation & Maintenance of 04 Nos Passenger Lift at Rajuk.",Lot wise,Package wise,Package wise,1000,Payment through Bank,13-Dec-2022,15-Nov-2022,mohammad nazmus sakib jamali,Sup. Eng. (Elec.),"Rajdhani Unnyan Kartripakkha (RAJUK), Rajuk Bhaban (5th Floor) Dilkusha, Dhaka.",Dhaka,Motijheel,Dhaka - 1000,Bangladesh,02-9552663,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Housing and Public Works,,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Superintending Engineer (Electrical),,Dhaka,Works,NCT,TENDER,Tender - Single Lot,Rajuk/Electrical-1/21/W-06,Live,184126,704165,Open Tendering Method (OTM),Own Fund,Own fund,Hatirjheel/elec/01-2021-22,Maintenance and related works of Hatirjheel,"Rajuk/Electrical-1/21/W-06 02 (Two) Years Servicing, Operation & Maintenance of 02 Nos. Passenger Lift at Hatirjheel Management/ Car Parking Building.","Electrical equipment and apparatus; Electrical machinery, apparatus, equipment and consumables; Electrical equipment for engines and vehicles; Sound or visual signalling apparatus; Magnets; Machines and apparatus with individual functions; Insulating fittings; Carbon electrodes; Electrical parts of machinery or apparatus; Electrical supplies and accessories;",27-Jun-2022 17:00,17-Jul-2022 16:00,27-Jun-2022 18:00,05-Jul-2022 16:00,18-Jul-2022 12:00,18-Jul-2022 12:00,18-Jul-2022 11:00,"This invitation for Tender is Open to Reputed bonafied Firm/ Organization/ Manufacturer/ Authorized Agent as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document. (a) The Tenderer having minimum 05 ( Five) years experience of Operation & Maintenance of (SHANGHI MITSUBISHI ELEVATOR or Equivalent Brand) Lift. ( years counting backward from the date of Publication of IFT in the Newspaper). (b) The Tenderer shall have successfully Completed of (SHANGHI MITSUBISHI ELEVATOR or Equivalent Brand) Lift Operation, Servicing and Maintenance Works of minimum amount Tk.10.00 (Ten) Lacs single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website. c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall beTk. 09.00 Lacs only. d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2016-2017, 2017-2018 , 2018-2019, 2019-2020, 2020-2021 ) average Annual Turnover should be required minimum amount Tk.10.00 ( Ten) Lacs. e) Electrical ABC/BC Supervisory & Contractory License (Up to Date). f) The Tenderer must have Income Tax clearance Certificate (2020-2021). g) The Tenderer must have VAT/BIN Registration Certificate. h) The Tenderer must have valid Trade License (2021-2022)","02 (Two) Years Servicing, Operation & Maintenance of 02 Nos. Passenger Lift at Hatirjheel Management/ Car Parking Building.",Lot wise,Package wise,Package wise,1000,Payment through Bank,13-Dec-2022,15-Nov-2022,mohammad nazmus sakib jamali,Sup. Eng. (Elec.),"Rajdhani Unnyan Kartripakkha (RAJUK), Rajuk Bhaban (5th Floor) Dilkusha, Dhaka.",Dhaka,Motijheel,Dhaka - 1000,Bangladesh,02-9552663,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Housing and Public Works,,Rajdhani Unnayan Kartripakkha (RAJUK),Office of the Superintending Engineer (Electrical),,Dhaka,Works,NCT,TENDER,Tender - Single Lot,Rajuk/Electrical-1/21/W-07,Live,178008,706666,Open Tendering Method (OTM),Own Fund,Own fund,RJK/ELEC/Maintanance,Maintanance of Office Equipement and Accessories,Rajuk/Electrical-1/21/W-07 03 (Three) Years Servicing & Maintenance of Computers at Rajuk.,Computer-related services; Computer and related services;Computer-related management services;Computer support and consultancy services;Computer network services;Computer upgrade services;Computer audit services;Computer testing services;Computer back-up services;Computer catalogue conversion services;Computer-related professional services,27-Jun-2022 17:00,17-Jul-2022 16:00,27-Jun-2022 18:00,05-Jul-2022 16:00,18-Jul-2022 12:00,18-Jul-2022 12:00,18-Jul-2022 11:00,"This invitation for Tender is Open to Enlisted ( Electrical) Contractor/Supplier of RAjuk or Other Govt./ Semi Govt./ Autonomous Organization/ Reputed Bonafied Firm as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document. a) The Tenderer having minimum 05 ( Five) years general experience. b) The Tenderer shall have successfully Completed Computer Servicing & Maintenance Works of 02 (Two) Contracts amounting minimum 05 (Five) lacs each or single Contracts amounting minimum 10 (Ten) lacs within the last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website.. c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 9.00 (Nine) Lacs only. d) Annual Turnover : Last five years ( Financial year 2016-2017, 2017-2018 , 2018-2019, 2019-2020, 2020-2021 ) average Annual Turnover should be required minimum amount Tk.10.00 ( Ten) Lacs. e) The Tenderer must have Income Tax clearance Certificate (2020-2021). f) The Tenderer must have VAT/BIN Registration Certificate. g) The Tenderer must have valid Trade License (2021-2022)",03 (Three) Years Servicing & Maintenance of Computers at Rajuk.,Lot wise,Package wise,Package wise,1000,Payment through Bank,13-Dec-2022,15-Nov-2022,mohammad nazmus sakib jamali,Sup. Eng. (Elec.),"Rajdhani Unnyan Kartripakkha (RAJUK), Rajuk Bhaban (5th Floor) Dilkusha, Dhaka.",Dhaka,Motijheel,Dhaka - 1000,Bangladesh,02-9552663,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,Dhaka South City Corporation,Dhaka Mohanagar Sishu Hospital,,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,egp/dscc/dmsh/own/2022-23/001/01,Live,184541,713309,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,egp/dscc/dmsh/own/2022-23/001/01 Hiring a contractor for supplying food and diet for indoor patients of Dhaka Mohanagar Shishu Hospital for FY 2022-23,Miscellaneous food products n.e.c. and dried goods; Miscellaneous food products;,27-Jun-2022 17:00,17-Jul-2022 17:00,27-Jun-2022 17:30,04-Jul-2022 17:00,18-Jul-2022 14:00,18-Jul-2022 14:00,18-Jul-2022 12:00,"a) Reputed contractors/supplier firms who have minimum 5 (five) years of general experience in similar works. (Time will be counted backward from the date of publication of IFT) b) The Tenderer must have to submit up to date income tax clearance certificate, VAT registration certificate, Trade License & NID along with the Tender. c) The Experience certificate of the successfully completed similar assignments issued by the officer not below the rank of Executive Engineer (or equivalent) of concerned department of organization must be submitted along with the Tender. Only the completion certificate will be accepted. d) Other eligibility criteria will be imposed as per TDS and PPR-2008, PPA-2006 (with latest amendment)",Hiring a contractor for supplying food and diet for indoor patients of Dhaka Mohanagar Shishu Hospital for FY 2022-23,Lot wise,Package wise,Package wise,2000,Payment through Bank,13-Dec-2022,15-Nov-2022,Dr. Ahmad Qudratey Khoda,Director,"4/1, Gaur Sundar Rai Lane, Lalbag,Dhaka",Dhaka,Chalkbazar,Dhaka - 1211,Bangladesh,02-57317056,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Education,Secondary and Higher Education Division,Bangladesh University of Engineering and Technology (BUET),Directorate of Planning and Development,,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,P&D/LP(S-3)/BEPRC-02/21/CHEM-02,Live,184916,703392,Open Tendering Method (OTM),Development,Government,EPRC/58-2019-001-01,A Novel Bio-mass Drived Na-K-ion Battery Prototype for the Next Generation Low Cost Energy Storage System,"GD-02/21/CHEM-02 Supply and installation of Lab Equipment for the BEPRC-BUET Project, Department of Chemistry, BUET.","Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",27-Jun-2022 17:00,17-Jul-2022 16:00,28-Jun-2022 10:00,07-Jul-2022 16:00,18-Jul-2022 15:00,18-Jul-2022 15:00,18-Jul-2022 14:00,"Tenderer should have Valid Trade license, VAT certificate, TIN certificate and latest Tax Assessment Certificate. Tenderer shall have a minimum of 3 (Three) years of overall experience in the supply of goods and related services. Tenderers from all countries except Israel are eligible. Authorization Letter is mandatory The satisfactory completion of supply of similar Goods of minimum BDT 20,00,000.00 (Taka Twenty Lac only) under maximum 1 (One) contract in the last 3 (Three) years. i.e. years counting backward from the date of publication of IFT in the e-GP System. The minimum amount of liquid assets i.e. working capital or credit line(s), net of other contractual commitments is BDT 18,00,000.00 (Taka Eighteen Lac only). This should be supported by bank certificate which is issued not before six months from the date of tender opening. Special Instruction:","Supply and installation of Lab Equipment for the BEPRC-BUET Project, Department of Chemistry, BUET.",Lot wise,Package wise,Package wise,1000,Payment through Bank,11-Feb-2023,14-Jan-2023,"PE_BUET, Prof. Dr. KM Amanat","Director, P&D",Palashi,Dhaka,Shahbagh,Dhaka - 1000,Bangladesh,02-9666413,02-9665630,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),Jamuna Fertilizer Company Limited (Commercial Division),,Jamalpur,Goods,NCT,TENDER,Tender - Single Lot,JFCL/LP/E&I/ELECT/5.788,Live,176337,713043,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,JFCL/LP/E AND I/ ELECT./5.788 Spare Parts For Air Cooler,"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",27-Jun-2022 17:00,18-Jul-2022 12:00,28-Jun-2022 11:00,14-Jul-2022 11:00,19-Jul-2022 11:00,19-Jul-2022 11:00,18-Jul-2022 16:00,OTM AS PER STD,Spare Parts For Air Cooler,Lot wise,Package wise,Package wise,500,Payment through Bank,14-Nov-2022,17-Oct-2022,A.K.M Anisuzzaman,General Manager(Comm),"General Manager (Commercial) Jamuna Fertilizer Company Limited Tarakandi, Sarishabari, Jamalpur-2055",Jamalpur,Sarishabari,Jamalpur - 2055,Bangladesh,0751-63881,0751-63889,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),Jamuna Fertilizer Company Limited (Commercial Division),,Jamalpur,Goods,NCT,TENDER,Tender - Single Lot,JFCL/LP/UREA/BAGGING/8.131,Live,176337,713247,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,JFCL/LP/UREA/BAGGING/8.131 Sewing Cotton (cotton synthetic mixed).,"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",27-Jun-2022 17:00,24-Jul-2022 12:00,28-Jun-2022 08:00,19-Jul-2022 09:00,25-Jul-2022 11:00,25-Jul-2022 11:00,24-Jul-2022 16:00,OTM as per STD,Sewing Cotton (cotton synthetic mixed).,Lot wise,Package wise,Package wise,1000,Payment through Bank,20-Nov-2022,23-Oct-2022,A.K.M Anisuzzaman,General Manager(Comm),"General Manager (Commercial) Jamuna Fertilizer Company Limited Tarakandi, Sarishabari, Jamalpur-2055",Jamalpur,Sarishabari,Jamalpur - 2055,Bangladesh,0751-63881,0751-63889,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),Jamuna Fertilizer Company Limited (Commercial Division),,Jamalpur,Goods,NCT,TENDER,Tender - Single Lot,JFCL/LP/QUALITY CONTROL/TECH./4.2579/679,Live,176337,713366,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,JFCL/LP/QUALITY CONTROL/TECH./4.2579/679 Incubator,"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",27-Jun-2022 17:00,25-Jul-2022 12:00,28-Jun-2022 11:00,24-Jul-2022 11:50,26-Jul-2022 10:00,26-Jul-2022 10:00,25-Jul-2022 16:00,OTM AS PER STD,BOD Incubator with Installation and Guarantee Test Run at JFCL site.,Lot wise,Package wise,Package wise,500,Payment through Bank,21-Nov-2022,24-Oct-2022,A.K.M Anisuzzaman,General Manager(Comm),"General Manager (Commercial) Jamuna Fertilizer Company Limited Tarakandi, Sarishabari, Jamalpur-2055",Jamalpur,Sarishabari,Jamalpur - 2055,Bangladesh,0751-63881,0751-63889,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
