date,title,article,url,thumbnail,author
3 June 2022,Rolls-Royce takes another step towards net zero operations as Power Systems increases supply of CO2-free power through new solar park,"Rolls-Royce Power Systems Chief Technology Officer and COO, Dr. Otto Preiss, Tengen Mayor Marian Schreier, property owner Gerhard Weber and solarcomplex CEO Bene Müller (from left to right) opened the new Berghof solar farm in Tengen, southern Germany, in early June 2022. The plant will generate around four million kilowatt hours of CO2-free electricity per year for Rolls-Royce Power Systems.       Cooperation partners open solar park with 3.7 MWp capacity in southern Germany  Use of the new solar park will save 1,300 metric tons of CO2 per year in electricity purchases  Rolls-Royce Power Systems Chief Technology Officer and COO, Dr Otto Preiss, solarcomplex CEO Bene Müller and property owner Gerhard Weber opened the new Berghof solar park in Tengen, southern Germany, on Friday 3 June 2022. The plant has an output of 3.7 megawatts and will generate around four million kilowatt hours of electricity per year, saving 1,300 tons of CO2 a year compared with electricity available through the German grid network. Rolls-Royce focuses on sustainable power generation with climate protection program The new solar park takes Rolls-Royce another step closer to its goal of achieving net zero greenhouse gas emissions from our operations and facilities as Power Systems has signed a power purchase agreement with the operators for an initial period of ten years. “With our Net Zero at Power Systems program, we are pursuing strict climate protection targets,” explained Dr Otto Preiss. “With ambitious interim targets for 2030, we aim to be completely climate neutral by 2050 across all global sites and areas from production to supply chains to our product portfolio, i.e. in all three recognized categories Scope 1, 2 and 3.”  The company’s own sustainable power generation is a key element in saving greenhouse gas emissions. “In order to increase the feed-in of electricity from renewable sources into the grid near our plants, we are working even more closely with local partners. We are pleased to have found an experienced and competent cooperation partner in solarcomplex and to open the new solar park together today,” explained Preiss. solarcomplex has already realized solar power plants with a total output of 50 megawatts The civic enterprise solarcomplex has set itself the goal of converting regional energy supply largely to renewable energies by 2030. Solar power plants with a total output of over 50 megawatts have already been realized as roof-mounted and ground-mounted systems, as well as regenerative heating networks in 18 communities. “Throughout Germany, the expansion of renewable power generation must be accelerated, and Baden-Württemberg has a particularly high need to catch up. This can only succeed if more and larger projects are also implemented for ground-mounted solar parks. Our Berghof solar park shows how it can be done,” said solarcomplex CEO Bene Müller. Solar Park Berghof - Facts and figures Location: 78250 Tengen; South Germany Owner: 1/3 Mr. Weber (land owner), 2/3 solarcomplex GmbH & Co KG Installed capacity: approx. 3.7 MWp  Annual power generation: approx. 4 million kWh  CO2 savings per year compared to German electricity mix: approx. 1,300 t Technical lifetime: at least 25, more likely 30 years Technical and commercial management: solarcomplex AG Power purchaser: Rolls-Royce Power Systems, Friedrichshafen Press photos are available for download from https://www.mtu-solutions.com/eu/en/news-and-media/media-center.html",https://www.rolls-royce.com/media/press-releases/2022/03-06-2022-rr-increases-co2-free-power-purchase-through-new-solar-park.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pr-03-06-2022a.jpg?h=470&iar=0&w=500,Rolls-royce
2 June 2022,Rolls-Royce to deliver 70 mtu engines to support semiconductor industry in China,"Rolls-Royce is supplying 70 Series 4000 mtu engines for emergency power use in the semiconductor industry in China. The engines will be produced in Yulin by employees of MTU Yuchai Power, the Chinese joint venture with Yuchai Diesel, and assembled as emergency gensets by the system provider Hefei Calsion Electric System Co., Ltd.              Expansion of information technology applications driving high market demand for semiconductor products Emergency power supply for chip factories secured by Calsion gensets with mtu engines  Rolls-Royce will provide 70 of its mtu Series 4000 engines, produced in Yulin by MTU Yuchai Power, the Chinese Joint Venture with Yuchai Diesel, for use in generator sets that will be packaged and distributed by emergency power systems provider Hefei Calsion Electric System Co., Ltd. The gensets will be installed at multiple semiconductor manufacturing locations in China to ensure that chip production is not affected by power failures. The rapid expansion of information technology applications such as artificial intelligence, cloud computing, big data and Internet of Things (IoT), has resulted in growing market demand for semiconductor products. In recent years, Chinese semiconductor enterprises have experienced a significant growth period due to the acceleration of domestic insourcing and the upgrade of industrial technologies. The guarantee of continuous power supply is critical for semiconductor factories, as the manufacturing process is very sensitive. The products on the production line are at risk of being scrapped after even a few minutes of power disruption. The mtu engine-powered generator sets installed by Calsion will provide uninterrupted switching between diesel engines and grid power to deliver continuous loading capacity under high load conditions, helping to ensure the stable operation of production lines and special process systems such as safety, clean room, and cooling and pure water systems. “With their excellent fuel efficiency and low emissions, mtu engines meet Stage III standards in China, and offer the advantages of superior performance, high reliability, as well as low operating costs. They also come standard with the strong technical design features and quality assurance that have made them the preferred choice for mission critical applications.”, said Lang Yun, Vice President, Stationary Power Solutions Greater China for the Power Systems division of Rolls-Royce. “China has always been an important strategic market for Rolls-Royce and this project further demonstrates that mtu engines are recognized by the Chinese market as a reliable solution to support its semiconductor manufacturers,” said Lang Yun. As the leader of semiconductor power system solutions, Hefei Calsion Electric System Co., Ltd.  specializes in the R&D, manufacturing, marketing and services of generator sets, and has R&D centers, modern production bases and first-class test systems. Its original semiconductor power system solution has won a market share of more than 70% of the domestic semiconductor industry emergency power system solution-based projects in China. It is a strategic partner and designated OEM manufacturer of Rolls-Royce in China, as the two parties have maintained close cooperation for 18 years. “We always take into consideration the unique needs of our customers in terms of energy and stability requirements, combined with environmental considerations,” said Mr. Wu Baoliang, Chairman, Calsion. “With Rolls-Royce being a close partner of ours, we knew that mtu engines would be the best fit to power our gensets for this project, providing the needed quality and reliability that semiconductor manufacturers require while meeting regional fuel consumption standards.” Press photos are available for download from https://www.mtu-solutions.com/eu/en/news-and-media/media-center.html",https://www.rolls-royce.com/media/press-releases/2022/02-06-2022-rr-to-deliver-70-mtu-engines-to-support-semiconductor-industry-in-china.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pr-01-06-2022-thumb.jpg?h=470&iar=0&w=500,Rolls-royce
25 May 2022,"Rolls-Royce celebrates production of 1,000th mtu engine from MTU Yuchai Power","MTU Yuchai Power Company Ltd, a joint venture between Rolls-Royce plc and Guangxi Yuchai Machinery Group Co Ltd, recently celebrated a major milestone as the 1,000th mtu Series 4000 engine rolled off the production line at the factory in Yulin.   Qiwei Wu, President of Guangxi Yuchai Machinery Group, said: “Six years ago, Rolls-Royce decided to cooperate with Yuchai and located the joint venture company at Yuchai’s headquarters, which further underlined Yuchai’s character and its path of internationalisation. Practice has proven that MTU Yuchai Power can not only produce mtu Series 4000 engines with high standards, but also develop the market and win great trust from customers. With the strengthening of local production of mtu Series 4000 engines, the competitiveness of the products has been continuously improved. Today, MTU Yuchai Power Company has achieved the production of 1,000 engines in five years, which is remarkable. I wish MTU Yuchai Power Company will continue to make persistent efforts to achieve higher goals.” Andreas Schell, CEO of Rolls-Royce Power Systems, said: “There is a German saying that you only really master something when you have repeated it a thousand times. Now MTU Yuchai Power Company has completed its 1,000th engine within its state-of-the-art factory. This is a reason for the employees of MTU Yuchai Power Company to celebrate and be proud of what they have achieved.” Eugenia Valente, President of Rolls-Royce Solutions Greater China, said: “Stay with your customers, listen to them. MTU Yuchai Power Company has always excelled in implementing our customer-centric business philosophy and has successfully earned the recognition of the local market with high-quality products and shorter delivery times. This milestone is clear proof of that. Let us celebrate it and be proud of the achievements made by the employees and management team of MTU Yuchai Power Company. Of course, 1,000 is not the end. On the contrary, it is the beginning of the journey to the next important milestone.” MTU Yuchai Power Company Ltd., founded in February 2017, started production in April of the following year. The joint venture company uses the same production line, follows the same production process and quality standards as Rolls-Royce’s mtu plants in Germany, and produces high-quality, high-speed, high-performance mtu Series 4000 engines at the highest technical level worldwide. mtu Series 4000 engines from Rolls-Royce have been used in applications including rail, marine and power generation, as well as in the oil and gas industry, since their launch in 1996. The alliance between Rolls-Royce and Guangxi Yuchai Machinery Group will further strengthen the engines’ competitiveness in the Chinese market, shorten delivery times, avoid exchange rate risks and increase customer satisfaction. The production of the 1,000th mtu Series 4000 engine by MTU Yuchai Power Company is an important step in Rolls-Royce’s localization strategy in the Chinese market. Rolls-Royce will continue to promote the combination of advanced global concepts and local manufacturing in China, serve Chinese customers with more competitive products and optimized system solutions, and support the Chinese economy with German quality. Press photos are available for download from https://www.mtu-solutions.com/eu/en/news-and-media/media-center.html",https://www.rolls-royce.com/media/press-releases/2022/25-05-2022-rr-celebrates-production-of-1000th-mtu-engine-from-mtu-yuchai-power.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/content-images/marine/discover/landing-images/pr-default-landing-image-v3.jpg?h=470&iar=0&w=500,Rolls-royce
22 May 2022,Rolls-Royce Pearl 10X engine performs flawlessly,"The Rolls-Royce Pearl® 10X engine development programme is making good progress and has successfully cumulated more than 1,000 testing hours, both on the Advance 2 demonstrator and the Pearl 10X engine configuration.        The Rolls-Royce Pearl® 10X engine development programme is making good progress and has successfully cumulated more than 1,000 testing hours, both on the Advance 2 demonstrator and the Pearl 10X engine configuration.   The first dedicated Pearl 10X test engine ran for the first time earlier this year and surpassed its target thrust levels on the first test run, making it the most powerful business aviation engine in the Rolls-Royce portfolio. All testing conducted so far has proved the reliability of the engine and shown it will meet the performance requirements to power Dassault’s flagship, the Falcon 10X.",https://www.rolls-royce.com/media/press-releases/2022/22-05-2022-business-aviation-rr-pearl-10x-engine-performs-flawlessly.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pearl-10x-thumb.jpg?h=470&iar=0&w=500,Rolls-royce
22 May 2022,Rolls-Royce CorporateCare enhanced service in strong demand,"Rolls-Royce announced it has signed the 1,000th CorporateCare® Enhanced service contract since the start of the programme in 2019. The enhanced service was introduced as standard for all new CorporateCare customers and is also available as an upgrade to existing contracts.        Rolls-Royce announced it has signed the 1,000th CorporateCare® Enhanced service contract since the start of the programme in 2019. The enhanced service was introduced as standard for all new CorporateCare customers and is also available as an upgrade to existing contracts.  The CorporateCare Enhanced service covers a wide range of additional services items for the AE 3007 and Tay engines, including troubleshooting and mobile repair team travel costs. For the Pearl® 15, Pearl 700, BR710 and BR725 engines it also covers maintenance for the whole powerplant, including nacelle, engine build-up and thrust reverser, unit-related services as well as erosion and corrosion on all engine and nacelle parts. Megha Bhatia, VP Sales & Marketing - Business Aviation, Rolls-Royce, said: “Since we launched our pioneering CorporateCare Enhanced service, we have seen strong demand from customers around the world, who clearly recognise the value of this programme. It offers an unrivalled, comprehensive coverage for the full powerplant, including engine and nacelle, and priority access to our dedicated Business Aviation Service Network. Our customers love the mindset of CorporateCare Enhanced, which can be summarised as: ‘If we provide it, we cover it’.”  Rolls-Royce is the leading business aviation engine supplier, powering more than 3,600 business aircraft in service. Today, more than 2,400 aircraft are covered by CorporateCare and about 70 per cent of new delivery Rolls-Royce powered aircraft are enrolled in the programme. CorporateCare Enhanced offers substantial financial and operational benefits to customers, such as increased asset value and liquidity, mitigating maintenance cost risk and protection against unforeseen costs as well as unscheduled events anywhere in the world. Increased aircraft availability, reduced management burden, full risk transfer, direct priority access to the Rolls-Royce services infrastructure and remote site assistance are further benefits for our customers.",https://www.rolls-royce.com/media/press-releases/2022/22-05-2022-business-aviation-rr-corporatecare-enhanced-service-in-strong-demand.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pr-22-05-2022-image.jpg?h=470&iar=0&w=500,Rolls-royce
20 May 2022,Rolls-Royce Submarines welder to represent UK at international WorldSkills event,"Rolls-Royce Submarines Welder Will Hunt is ready to represent the UK at the WorldSkills event       An expert welder from Rolls-Royce Submarines Ltd will fly the flag for the UK and the East Midlands at the internationally respected WorldSkills 2022 competition in China later this year. Will Hunt, who works at the Raynesway site in Derby, was selected after excelling in national welding competitions. He is now part of the 39-strong Team UK and will face off against rivals from 80 countries to bring home gold in their field. On hearing the news, Will said: “The welding competitions have been an excellent opportunity for me to broaden my welding skills and knowledge. It has also been a great experience welding in a competitive environment at the national finals. To be picked to represent the UK on an international stage is something everyone dreams of and I can only thank Rolls-Royce and my colleagues for the support, training and encouragement they have given me to get this far.”",https://www.rolls-royce.com/media/press-releases/2022/20-05-2022-rr-submarines-welder-to-represent-uk-at-international-worldskills-event.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pr-20-05-2022a.jpg?h=470&iar=0&w=500,Rolls-royce
17 May 2022,Rolls-Royce successfully powers directed energy field tests in U.S.,"Rolls-Royce has successfully demonstrated ‘deep magazine’ power capability for directed energy applications, powering multiple, extended laser field tests in collaboration with Lockheed Martin as part of the Layered Laser Defense (LLD) project.   Deep magazine power capability is crucial for directed energy applications, which can be limited by battery-only systems that require recharging or replacement of batteries after a short period of operation. The Rolls-Royce ColdFireTM system includes both battery-powered and near-continuous firing modes, through a compact and fuel-efficient Rolls-Royce M250 gas turbine engine which provides consistent, extended power to operate the laser application. Powered by the Rolls-Royce system, Lockheed Martin’s laser weapon system successfully shot down flying targets during the recent field tests conducted in partnership with the Office of Naval Research at the U.S. Army’s High Energy Laser Systems Test Facility at White Sands Missile Range in New Mexico. Craig McVay, Rolls-Royce Defense, Senior Vice President, said, “The Rolls-Royce ColdFireTM system successfully demonstrated extended firing capability during the field tests, proving the technology is ready to progress to customer applications. We built the most sophisticated power and thermal management system in the world, so we are ready for any challenge. Our U.S. Department of Defense customers continue to express interest in Rolls-Royce directed energy power and cooling technology, and we look forward to briefing them on the outstanding results from the field tests.” Lockheed Martin developed the 100kW-class LLD to demonstrate cutting-edge laser weapon system technologies in an integrated system. Compact but powerful, and coupled with a Rolls-Royce ColdFire power and thermal system, it provides nearly continuous firing capability to engage more types of targets, in larger numbers, with longer range, than previous systems. Paul Shattuck, Lockheed Martin, Director of Directed Energy Systems, said, “Our industry team worked together in great partnership to bring forward critical knowledge to build this compact laser weapon system with a near-limitless magazine.” Rolls-Royce developed and tested the ColdFireTM system for over 10 years with $50 million in company investment. In addition to providing power to the directed energy system, ColdFireTM offers unique and highly effective cooling technology to dissipate the large amount of heat generated by the laser system. Rolls-Royce is an industry leader in thermal management – the company’s advanced gas-turbine engines operate at temperatures far greater than the melting point of metal. That requires sophisticated engineering technology that allows engines to operate safely and effectively for thousands of hours. Rolls-Royce has adapted this proven thermal management knowledge into the ColdFireTM system. Rolls-Royce ColdFireTM is a suite of world-class power and thermal options for any directed energy system, with technology ready now and tailored to the needs of the system. With field-proven laser and platform integration, ColdFireTM is suitable for land, sea or air systems, and features thermal and power options for specific customer needs. Directed energy systems offer low cost per shot and reduced logistical burdens, while offering compelling capabilities against today’s stressing threats including counter-hypersonic, and are versatile and scalable. Regardless of power sources or platform, thermal management integration with the laser is critical to system effectiveness. Rolls-Royce North America employs 5,000 people in 27 states and is one of the world's preeminent manufacturers of highly efficient, integrated power and propulsion solutions. Rolls-Royce power systems are used in aerospace, naval marine, energy and off-highway applications. The ColdFireTM technology was developed in the company’s LibertyWorks advanced technology unit based in Indianapolis, Indiana. Rolls-Royce products and services support customers across North America, including the U.S. Department of Defense.",https://www.rolls-royce.com/media/press-releases/2022/17-05-2022-rr-successfully-powers-directed-energy-field-tests-in-us.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/content-images/marine/discover/landing-images/pr-default-landing-image-v3.jpg?h=470&iar=0&w=500,Rolls-royce
12 May 2022,Rolls-Royce Holdings plc AGM statement and Trading update,"Rolls-Royce Holdings plc is holding its Annual General Meeting today and is hosting a site visit to its Civil Aerospace business tomorrow. Alongside these events, Rolls-Royce has issued the following trading update for the first four months of 2022 and also medium term outlook for its Civil Aerospace business. In his address to shareholders, Chief Executive Warren East will comment:  “In 2021, we delivered improved financial performance and continued to deliver on our commitments. As a result of the actions we have taken, we have made significant progress on the path to recovery from the impact of COVID-19 and are emerging as a better balanced and more resilient business with a sustainable future, focused on the long-term business opportunities presented by the global energy transition. I would like to thank our colleagues for their commitment and achievements this year and all our stakeholders for their support and engagement. It has been a privilege to lead Rolls-Royce and I am fully committed to driving our business while we work towards a smooth leadership transition this year. We are confident that we have positioned the business to achieve positive profit and cash this year, driven by the benefits of our cost reductions and increased engine flying hours in Civil Aerospace together with a strong performance in Defence and Power Systems, and balanced by our commitment to invest in technology and systems that are critical to the leading sustainable solutions we are delivering now and in the future.”    Trading update and outlook Financial performance year-to-date has been in line with expectation and our financial guidance for 2022 is unchanged. We are well positioned for the anticipated growth in our end markets and continue to expect positive momentum in our financial performance in 2022 despite the ongoing risks around macroeconomic uncertainties. We are working closely with our global supply chain to limit the impact of disruption and will continue to adapt our plans as the global situation evolves. Our long-term sourcing agreements and hedging policies designed to limit volatility in raw material inflation, give some near-term protection and we have increased inventory levels to help mitigate the impact. We are working with our suppliers to monitor and manage these risks and challenges. In Civil Aerospace, large engine long term service agreement (LTSA) flying hours for the first four months of 2022 were 42% higher than the prior year period. Passenger demand is recovering on routes where travel restrictions have been lifted, such as in Europe and the Americas, but additional COVID-19 restrictions have resulted in fewer flights in China where the situation is still evolving. Flying hours in Business Aviation have remained strong. Shop visits and original equipment (OE) deliveries of installed and spare engines are expected to accelerate during the course of the year. We are continuing to capitalise on new opportunities. For instance, Qantas recently committed to a deal for 12 Airbus A350-1000s for its long-haul Project Sunrise initiative, powered by our Trent XWB-97 engines. Rolls-Royce and Qantas have also committed to sign a TotalCare® service agreement for the Trent XWB-97 engines that will power the 12 aircraft.  In Defence, the products and services we provide are delivered and maintained over decades of service to our large number of customers and as such they are not immediately exposed to individual geopolitical events. Our strong order backlog gives us confidence on revenue, profit and cash conversion against the headwinds of inflation and supply chain risk. As guided previously, our operating margin is expected to be lower in 2022 compared with 2021, reflecting original equipment and aftermarket mix changes and the planned increase in investment in Defence to support new programme wins. Governments are increasing their long-term budget allocations towards defence activities, underpinning the long-term growth outlook we hold for Defence.  In Power Systems, the first four months of order intake has been very strong across the entire business and particularly in both power generation and defence end markets. We are working to limit the impact of supply chain disruption, in part through holding increased inventory, which as previously guided will impact cash conversion this year. Interest in sustainable solutions is increasing: the first engines for power generation, construction and industrial applications have been approved for operation with sustainable fuels and we are developing hydrogen engines. Our New Markets businesses, Rolls-Royce Electrical and Rolls-Royce SMR, continue to make good progress supported by Rolls-Royce and third-party investment. We have commenced the multi-year UK Generic Design Assessment process for our SMR design and we are encouraged by the recent commitment to nuclear energy by the UK Government. In Rolls-Royce Electrical, alongside the aircraft manufacturer Tecnam and engine manufacturer Rotax, we have completed the successful flight-testing of a hybrid-electric demonstrator aircraft powered by a parallel-hybrid propulsion system.  We are progressing well with our programme of disposals and are confident in achieving the commitment to generate around £2bn in total proceeds once the sale of ITP Aero completes, which is expected to be in the first half of this year, subject to regulatory approvals. The proceeds from the programme of disposals will be used to repay debt.  Civil Aerospace medium term outlook and site visit We are hosting a site visit at our Civil Aerospace facilities in Derby tomorrow, 13 May. The event will include tours of our facilities and a presentation with Q&A. We will set out our key Civil Aerospace value drivers, highlight the operational side of our business and provide a deeper understanding of how the changes we have implemented are making it a better quality, more resilient, and more agile business which is set up to increase returns and deliver long-term sustainable growth.  The presentation will include our view of the medium-term financial outlook for Civil Aerospace based on the actions we have taken to improve cost efficiency and productivity, combined with the current assumed recovery in demand, which is subject to risks and uncertainties based on prevailing market and macroeconomic conditions. In the medium term, we expect Civil Aerospace underlying revenue to grow at a low double-digit percentage compound average growth rate from 2021 with an operating margin percentage in the high single digits, and with trading cashflow comfortably exceeding operating profit.  Due to physical capacity constraints, the event is by invitation only but there will also be a webcast starting at 10am UK time on 13 May and lasting for approximately two hours. The webcast details and presentation materials will be shared on our website www.rolls-royce.com/investors and a replay will be made available after the event. Our next scheduled trading update will be on 4 August 2022, when we will publish our Half Year 2022 results. This announcement has been determined to contain inside information.",https://www.rolls-royce.com/media/press-releases/2022/12-05-2022-rr-holdings-plc-agm-statement-and-trading-update.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/content-images/marine/discover/landing-images/pr-default-landing-image-v3.jpg?h=470&iar=0&w=500,Rolls-royce
11 May 2022,Rolls-Royce takes step towards net zero ambition with mtu gensets approved for sustainable fuels,"Following successful trials on the test bench and in the field, Rolls-Royce business unit Power Systems has approved its Series 1600 and Series 4000 generator sets for use with sustainable fuels.            Power Systems business approves mtu diesel engines for operation with sustainable fuels Full performance in power generation operation without the need for modification Up to 90% CO2 savings possible with hydrotreated vegetable oil  Rolls-Royce has taken a significant step towards meeting its net zero goals, set out last year, with the approval by Power Systems of its Series 4000 and Series 1600 diesel engines for use with a range of EN15940-certified synthetic diesel fuels in power generation applications. Following successful testing, including in the field, both types of engines can use a range of sustainable fuels including Biomass to Liquid (BtL), Hydrotreated Vegetable Oil (HVO) and Power to Liquid (PtL) fuels such as e-diesel. They can all be used to replace conventional diesel fuel. “There is already a lot of interest in HVO in particular from many customers in the energy industry and data center business, who want to improve their carbon footprint,” explained Tobias Ostermaier, president of the Stationary Power Solutions business unit at Rolls-Royce Power Systems. “The results from pilot customers show a significant reduction in greenhouse gases, nitrogen oxide and particulate emissions by using HVO instead of fossil diesel in their gensets.” Last year Rolls-Royce pledged to prove its most popular in-production engines, including the Series 4000, can be used with sustainable fuels by 2023.",https://www.rolls-royce.com/media/press-releases/2022/11-05-2022-takes-step-towards-net-zero-ambition-with-mtu-gensets-approved-for-sustainable-fuels.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pr-11-05-2022a.jpg?h=470&iar=0&w=500,Rolls-royce
10 May 2022,Rolls-Royce submarines to launch Nuclear Skills Academy and new apprenticeships in Derby,"Image © Crown      Rolls-Royce Submarines Ltd will launch a new skills academy dedicated to nuclear training, alongside 200 additional nuclear apprenticeships starting in September 2022. As part of its drive to boost nuclear capability in the UK and to create a pipeline for nurturing talent right at the start of their careers, Rolls-Royce Submarines has committed to 200 new apprenticeships every year for at least the next ten years. Based in Derby, the new Nuclear Skills Academy will be supported by industry and education experts, including the Nuclear Advanced Manufacturing Research Centre, the National College for Nuclear, the University of Derby and Derby City Council. This ensures new apprentices will have access to the best courses and mentors throughout their apprenticeship.",https://www.rolls-royce.com/media/press-releases/2022/10-05-2022-rr-submarines-to-launch-nuclear-skills-academy-and-new-apprenticeships-in-derby.aspx,https://www.rolls-royce.com/~/media/Images/R/Rolls-Royce/Stories/2022/pr-10-05-2022.jpg?h=470&iar=0&w=500,Rolls-royce
