,title,rating,price,link
0,"APPLE iPhone 12 Mini (Blue, 128 GB)","4.596,794 Ratings & 7,898 Reviews","₹55,199",https://www.flipkart.com/apple-iphone-12-mini-blue-128-gb/p/itm9b6cdec9700ee?pid=MOBFWBYZHU58PHCZ&lid=LSTMOBFWBYZHU58PHCZTK9C8G&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZHU58PHCZ.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
1,"APPLE iPhone SE (White, 64 GB)","4.51,48,912 Ratings & 11,735 Reviews","₹30,499",https://www.flipkart.com/apple-iphone-se-white-64-gb/p/itma00a19e11c81b?pid=MOBFWQ6BGWDVGF3E&lid=LSTMOBFWQ6BGWDVGF3EVKKUOW&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6BGWDVGF3E.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
2,"APPLE iPhone SE (Red, 64 GB)","4.51,48,912 Ratings & 11,735 Reviews","₹30,499",https://www.flipkart.com/apple-iphone-se-red-64-gb/p/itm0397b268761f6?pid=MOBFWQ6B5SFXGTNG&lid=LSTMOBFWQ6B5SFXGTNGJVZO0T&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6B5SFXGTNG.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
3,"APPLE iPhone SE (White, 128 GB)","4.51,48,912 Ratings & 11,735 Reviews","₹35,099",https://www.flipkart.com/apple-iphone-se-white-128-gb/p/itmc2a0f593a4ad8?pid=MOBFWQ6BJEHMUUZY&lid=LSTMOBFWQ6BJEHMUUZYQAQFLG&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6BJEHMUUZY.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
4,"APPLE iPhone 12 Mini (Black, 64 GB)","4.596,794 Ratings & 7,898 Reviews","₹49,999",https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6FTONJ6W&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZXSEGBS6F.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
5,"APPLE iPhone 13 (Green, 128 GB)","4.63,884 Ratings & 409 Reviews","₹74,900",https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZFWCDJN&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBGC9VGSU9DWGJZ.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
6,"APPLE iPhone SE (Black, 128 GB)","4.51,48,912 Ratings & 11,735 Reviews","₹35,099",https://www.flipkart.com/apple-iphone-se-black-128-gb/p/itma9285ccc6af28?pid=MOBFWQ6BHUEVZPXD&lid=LSTMOBFWQ6BHUEVZPXDLYKD39&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6BHUEVZPXD.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
7,"APPLE iPhone 12 (Blue, 64 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹59,999",https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NJR4H5X&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZ8DNJNY7N.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
8,"APPLE iPhone 13 Mini (Starlight, 128 GB)",4.6666 Ratings & 59 Reviews,"₹64,900",https://www.flipkart.com/apple-iphone-13-mini-starlight-128-gb/p/itmcb65606f21fd3?pid=MOBG6VF5BXXWYEYM&lid=LSTMOBG6VF5BXXWYEYM9W9KOM&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF5BXXWYEYM.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
9,"APPLE iPhone SE (Red, 128 GB)","4.51,48,912 Ratings & 11,735 Reviews","₹35,099",https://www.flipkart.com/apple-iphone-se-red-128-gb/p/itma4202509da171?pid=MOBFWQ6BJTVFKPEJ&lid=LSTMOBFWQ6BJTVFKPEJI0X38M&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6BJTVFKPEJ.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
