date,title,article,url,thumbnail,author
1 June 2022,Saab Receives Order for Studies on Future Fighter Aircraft Development,"The study is preparatory in nature and its purpose is to widen the work on how future combat air capabilities can be developed and realised.The order value is approximately SEK 250 million.“I am very pleased that we have received this order, which enables development of future capabilities. It means that we can intensify our work to develop new concepts, technologies, and other endeavours required to achieve relevant operational capability and which will prepare the future for Saab’s fighter technologies,” said Jonas Hjelm, Senior Vice President and head of Saab’s Aeronautics business area.  For further information, please contact:Saab's press centre+46 (0)734 180 018presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @Saab LinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with a mission to help nations protect their populations and to contribute to the safety of people and societies. With 18,000 talented employees, Saab develops technology and solutions for a safer, more sustainable, and more just world.  Saab develops, manufactures, and maintains sophisticated systems within aeronautics, weapons, and sensors, as well as management systems and underwater systems. Saab is headquartered in Sweden, but has global operations through which the company contributes to many nations’ defence capabilities.",https://www.saab.com/newsroom/press-releases/2022/saab-receives-order-for-studies-on-future-fighter-aircraft-development,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_800,h_450,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/74247a55-f344-424f-9a0e-1e7f439fc6b1/20220601-en-4279278-1.png",SAAB
31 May 2022,Saab to Divest Laser Rangefinder Business,"The transaction, which was signed in March 2021, was subject to a number of conditions, all of which now have been fulfilled. As part of the transaction, 27 Saab employees in Gothenburg will be affected and join the newly established subsidiary Lumibird Photonics Sweden AB. The divested operations had revenues of around EUR 10 million in 2021. “The divestment is yet another stage in the increased focus on our core business and we are convinced that the laser business makes a good strategic fit within the Lumibird Group,” says Carl-Johan Bergholm, head of Saab’s business area Surveillance.For further information, please contact:Saab Press Centre,+46 (0)734 180 018,presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @SaabLinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems. Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/saab-to-divest-laser-rangefinder-business,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_800,h_450,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/fff5e08e-5b0c-45b5-8d76-8fb14f12e142/20220531-en-4278237-1.png",SAAB
27 May 2022,Saab Receives Orders for Carl-Gustaf Components,"The industry’s nature is such that, depending on circumstances concerning the product and customer, further information regarding the customer will not be announced.“We continue to support and strengthen our customers’ defence capabilities with our world-leading ground combat solutions. This order is further proof that our solutions meet our customers’ requirements,” says Görgen Johansson, head of Saab’s business area Dynamics.  Man-portable and multi-role, the Carl-Gustaf weapon enables dismounted soldiers to deal with the challenges of the modern battlefield.For further information, please contact:Saab Press Centre,+46 (0)734 180 018,presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @SaabLinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems. Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/saab-receives-orders-for-carl-gustaf-components,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_2472,h_1391,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/ab98c085-2227-4660-9698-7673ac4534f7/20220527-en-4275300-1.jpg",SAAB
24 May 2022,Saab Receives Swedish Order for Torpedo Tubes for Surface Ships,"The new torpedo tube will have the customer designation Tub m/20 in Sweden, and will replace the tube currently in use on the Swedish Navy’s corvettes.“The new torpedo tube will enhance and future proof Sweden’s capability for operating lightweight torpedoes from surface ships, thereby helping their anti-submarine capabilities,” says Niclas Kolmodin, head of Saab’s business unit Underwater Systems.The tube is designed to meet future requirements, enabling a larger torpedo payload as well easier and more user friendly loading and unloading. Saab designed the launch system to provide higher availability and to enable surveillance of the tube from a naval command and control centre. The torpedo tube was developed when Finland placed its order for the Saab New Lightweight Torpedo for its Pohjanmaa class corvettes.For further information, please contact:Saab Press Centre,+46 (0)734 180 018presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @saab LinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems. Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/saab-receives-swedish-order-for-torpedo-tubes-for-surface-ships,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_4666,h_2625,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/12e03957-656a-4434-9b87-6f80fe1edb18/20220524-en-4272978-1.jpg",SAAB
12 May 2022,Saab Awarded Contract from US Army for Carl-Gustaf recoilless rifles,"Saab will provide Carl-Gustaf recoilless rifles to continue supporting the ongoing fielding effort in both the Army and the Marine Corps. “At Saab, we are always striving to support the Infantry with light-weight solutions that make their jobs easier. This order will make Soldiers and Marines more agile thanks to the reduced weight and increased capability compared to the previous version currently in operational use. Additionally, this order will increase interoperability across services, alliances, and partnerships, with so many already fielding the Carl-Gustaf M4,” said Erik Smith, President and CEO of Saab in the U.S. Carl-Gustaf M4 increases tactical flexibility, enabling soldiers to deal with any situation. Built to satisfy future requirements, it is compatible with advanced fire control devices and prepared for specialised ammunition, putting advanced technology at forces’ fingertips. The wide range of ammunition provides extreme tactical flexibility ready for any combat situation, delivering faster engagement, increased hit probability and greater effectiveness.The Carl-Gustaf® system of lightweight weapons, now in its fourth generation. It is in use in more than 40 different countries, including many NATO allies.For further information, please contact:Kevin BolandDirector, Corporate Affairs(202) 313-8541Kevin.boland@saabinc.comwww.saabinc.comFollow @saab_inc on Twitter, Instagram, and LinkedIn.Saab is a leading defense and security company with an enduring mission, to help nations keep their people and society safe.Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems. Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defense capability of several nations.Saab, Inc. is a U.S. based wholly owned subsidiary, delivering advanced technology and systems, supporting the U.S. Armed Forces and the Federal Aviation Administration, as well as international and commercial partners. Headquartered in Syracuse, New York, the company has business units and local employees in six U.S. locations.",https://www.saab.com/newsroom/press-releases/2022/saab-awarded-contract-from-us-army-for-carl-gustaf-recoilless-rifles,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_6720,h_3780,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/56f7708b-40cb-4642-b080-32f0f6af9042/20220512-en-4263896-1.jpg",SAAB
12 May 2022,Viktor Wallström New Head of Group Communication at Saab,"Viktor Wallström is currently Executive Vice President, Communication & Sustainability at Tele2, a position he has held since 2013. During his time at Tele2, Viktor’s roles have included heading the communication of one of Sweden’s largest corporate mergers to date and he has taken Tele2’s sustainability work to an industry leading position. Prior to Tele2, Viktor was press secretary at the Swedish National Grid and he has also worked as a consultant in Belgium and Sweden, mainly within the fields of public relations, internal communication and public affairs.“With the recruitment of Viktor Wallström, we add a solid and strategic leader with great experience to our already strong communication team. We see an increasing interest in Saab from many stakeholders and Viktor will continue to develop our communication, supporting our Swedish and international growth, our sustainability initiatives and our commitment to supporting our customers in keeping their people and societies safe,” says Micael Johansson, Saab’s President and CEO.Viktor Wallström has a master's degree in political science from Uppsala University, specialising in peace and conflict research.For further information, please contact:Saab Press Centre,+46 (0)734 180 018,presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @SaabLinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems.Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/viktor-wallstrom-new-head-of-group-communication-at-saab,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_8192,h_4608,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/9b106f65-d100-4811-acc1-b2c54f07e997/20220512-sv-4263485-1.jpg",SAAB
10 May 2022,Saab’s Sirius Compact Offers New Flexibility for EW Users,"Sirius Compact brings new capabilities thanks to its low size, weight and power, particularly in comparison to equivalent larger static solutions. Because it can easily be integrated to drones, vehicles, vessels, masts or man-portable applications, users can rapidly deploy the system and scale its coverage as the situation demands.“Operations in the electromagnetic spectrum of a modern battlefield are a constantly evolving challenge. The need to remain undetected, while deploying with discretion and agility has been at the forefront of the development of Sirius Compact,” says Carl-Johan Bergholm, head of Saab´s business area Surveillance.Sirius Compact is modular, scalable and can be used stand-alone, in a network of sensors or as a complement to existing sensors. By enhancing situational awareness through silent detection, classification and prioritisation of radar and datalink emissions, it is also a force-multiplier enabling users to locate threats whilst remaining undetected. Autonomous operation enables assimilation and compilation of situational awareness information without the need to store sensitive data in the sensor.Development and production of Sirius Compact is shared between Saab in Sweden and Finland, in line with Saab’s strategy to further strengthen its domestic presence on selected markets outside of Sweden.Saab will showcase Sirius Compact at the AOC Europe conference in Montpellier in France 10-12 May and at Eurosatory in Paris 13-17 June.Learn more about Sirius Compact: www.saab.com/electronicwarfareWatch the video about Sirius Compact: https://youtu.be/q98lUoO1yWkFor further information, please contact:Saab Press Centre,+46 (0)734 180 018,presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @SaabLinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems.Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/saabs-sirius-compact-offers-new-flexibility-for-ew-users,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_8688,h_4887,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/72813bac-a86d-4173-b131-44d6deefcaa5/20220510-en-4261343-1.jpg",SAAB
10 May 2022,Saab Receives Order from Sweden for Carl-Gustaf Ammunition,"The order is placed within a framework agreement, which was updated in April 2022, and allows FMV to place orders for ground combat weapons and ammunition from Saab during a ten-year period. The order comprises the new programmable high explosive ammunition, designated HE 448.“Once again Saab’s world-leading Carl-Gustaf recoilless rifle will strengthen the Swedish defence capability. This further proves the excellence and robustness of Carl-Gustaf,” says Görgen Johansson, head of Saab’s business area Dynamics.  Together with the new Fire Control Device, FCD 558, which Sweden ordered in late 2021, the new programmable high explosive ammunition HE 448 gives the Carl-Gustaf operator the ability to quickly configure a chambered round. The wide range of ammunition available for Carl-Gustav further strengthens the system’s tactical flexibility, enabling faster engagement, increased hit probability and greater effectiveness for the soldiers.  For further information, please contact:Saab Press Centre,+46 (0)734 180 018,presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @SaabLinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems. Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/saab-receives-order-from-sweden-for-carl-gustaf-ammunition,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_2698,h_1518,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/ce32d69b-9918-4fbf-9bf6-5390f3b61ad4/20220510-en-4261217-1.jpg",SAAB
6 May 2022,Saab Firings Showcase New Programmable Carl-Gustaf Munition,"The firings took place 3-4 May 2022 in front of an audience with representatives from 30 different nations and included shoulder-fired engagements demonstrating the capabilities of the new programmable High Explosive (HE) round. A new Fire Control Device (FCD), designated FCD 558, was also demonstarted at the event. The new HE 448 programmable round has the ability to communicate with the new Fire Control Device 558 via a new protocol known as Firebolt®. The HE 448 round provides the FCD 558 with the exact information on round type and propellant temperature and combines this with target distance entered by the operator to determine the best trajectory. This means that Carl-Gustaf operators will be able to quickly configure a chambered round and so increase their operational effectiveness.“These firings indicates the increased battlefield capabilities of the HE 448 and that, together with the Fire Control Device 558, it is ready to be delivered to our customers. The HE 448 offers increased range and effectiveness against the target and has been developed drawing on our close customer relationships and our understanding of their requirements. The FCD 558 also gives users a new option for equipping Carl-Gustaf with a more efficient sighting solution than the baseline configuration,” says Michael Höglund, head of Saab’s business unit Ground Combat.In December 2021, Saab was contracted to deliver the new HE 448 munition and Fire Control Device 558 to the Swedish Armed Forces.For further information, please contact:Saab Press Centre,+46 (0)734 180 018presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @saab LinkedIn: SaabInstagram: SaabSaab is a leading defence and security company with an enduring mission, to help nations keep their people and society safe. Empowered by its 18,000 talented people, Saab constantly pushes the boundaries of technology to create a safer, more sustainable and more equitable world. Saab designs, manufactures and maintains advanced systems in aeronautics, weapons, command and control, sensors and underwater systems.Saab is headquartered in Sweden. It has major operations all over the world and is part of the domestic defence capability of several nations.",https://www.saab.com/newsroom/press-releases/2022/saab-firings-showcase-new-programmable-carl-gustaf-munition,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_2048,h_1152,c_scale/episerver/3d44cb09-e819-4370-a234-7e11aaffc62f/20220506-en-4258576-1.jpg",SAAB
5 May 2022,Denmark Becomes 15[th] Carl-Gustaf M4 Customer,"The recoilless Carl-Gustaf M4 weapon increases tactical flexibility. Built to satisfy future requirements, it is compatible with advanced fire control devices and prepared for specialised ammunition, putting advanced technology at forces’ fingertips.“We are ready to supply Denmark with Carl-Gustaf M4. The user-focused design of the Carl-Gustaf M4 will ensure the Danish forces that they will have what they need, when they need it,” says Görgen Johansson, head of Saab’s business area Dynamics.The Danish Armed Forces has been using Carl-Gustaf, which is designated Dysekanon in the country, since the 1970s.For further information, please contact:Saab Press Centre,+46 (0)734 180 018presscentre@saabgroup.comwww.saab.comTwitter: @SaabFacebook: @saabLinkedIn: SaabInstagram: Saab",https://www.saab.com/newsroom/press-releases/2022/denmark-becomes-15th-carl-gustaf-m4-customer,"https://res.cloudinary.com/dkkd45ayz/image/upload/f_auto,q_auto,dpr_auto/w_7360,h_4140,c_fill,g_auto/w_2048,h_1152,c_scale/episerver/44cc2bc2-7cd6-4fa6-94d4-3e393ebc19a7/20220505-sv-4256919-1.jpg",SAAB
