date,title,article,url,thumbnail,author
22 December 2021,Zydus Cadila receives tentative approval from USFDA for Pimavanserin Tablets,"Zydus Cadila receives tentative approval from USFDA for                          Pimavanserin Tablets    Ahmedabad, 22 December, 2021    Zydus Cadila has received tentative approval from the USFDA to market Pimavanserin  Tablets, 10 mg (US RLD: Nuplazid Tablets). Pimavanserin is used to treat the symptoms of a  certain mental/mood disorder (psychosis) that might occur with Parkinson's disease. It helps  lessen symptoms such as seeing or hearing things that are not there (hallucinations) and false  beliefs (delusions).    The drug will be manufactured at the group’s formulation manufacturing facility at the SEZ,  Ahmedabad. The group now has 325 approvals and has so far filed over 400 ANDAs since the  commencement of the filing process in FY 2003-04.      About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops,  manufactures, and markets a broad range of healthcare therapies. The group employs over  23000 people worldwide and is dedicated to creating healthier communities globally.                                                 ***",https://www.zyduslife.com/public/pdf/pressrelease/Zydus%20Cadila%20receives%20tentative%20approval%20from%20USFDA%20for%20Pimavanserin%20Tablets.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
16 December 2021,"Zydus receives Orphan Drug Designation from US FDA for ZY-19489, a novel compound to treat malaria","Zydus receives Orphan Drug Designation from US FDA for            ZY-19489, a novel compound to treat malaria     ZY19489 is a novel anti-malarial compound active against all current clinical strains of      P. falciparum and P. vivax, including drug resistant strains.     The Orphan Drug Designation provides up to seven years of marketing exclusivity in the USA     According to the US CDC, about 2,000 cases of malaria are diagnosed in the United States each      year     The vast majority of cases in the United States are found in travellers returning from countries      where malaria transmission occurs    Ahmedabad, India, December 16, 2021    Zydus Cadila, a research-driven, global healthcare provider, today announced that its antimalarial  compound ZY19489 (MMV253), currently in development together with Medicines for Malaria  Venture (MMV), a leading product development partnership (PDP) in antimalarial drug research, has  received Orphan Drug Designation from the USFDA.  Orphan drug designation provides eligibility for certain development incentives, including tax credits  for qualified clinical testing, prescription drug user fee exemptions and seven-year marketing  exclusivity upon FDA approval.  The Phase I study of ZY19489 has demonstrated long half-life and potential for a single-dose cure for  malaria [Reg’n Number ACTRN12619000127101]. In a separate malaria challenge trial, potent  antimalarial activity has been demonstrated following single-dose oral administration of  ZY19489 [Reg’n Number ACTRN12619001215112].  Speaking on the development, Pankaj R. Patel, Chairman, Zydus Group said, “As a global community  facing threats from rapidly mutating malaria strains and the rise in artemisinin resistance cases, we have  to be prepared with novel therapeutic drugs. ZY-19489 is a potential single dose radical cure for P.  falciparum and P. vivax malaria which is a major global health risk today.""  “ZY19489 is a potent, first in class molecule, originally discovered and elaborated in India” said Dr.  Timothy Wells, Chief Scientific Officer, MMV. “It has tremendous potential as part of a new generation  of treatments and is fully active against drug resistant strains of malaria which are increasingly a  concern.”  Artemisinin resistance is seen as a mounting challenge to the global fight against malaria. ZY19489 is  being developed to provide an effective alternative to the current front-line antimalarial drugs for the  treatment of P. falciparum and P. vivax malaria, as artemisinin-based combination therapies (ACTs) are  under threat of resistance.  As per the World Malaria Report 2021, there were an estimated 241 million cases of malaria worldwide  and the estimated number of malaria deaths stood at 627,000 in 2020. A major health concern, it is  estimated that a child dies from malaria every minute. About 96% of malaria deaths globally were in  29 countries. India accounted for about 82% of all malaria deaths in the WHO South-East Asia Region.  About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops, manufactures  and markets a broad range of healthcare therapies, including small molecule drugs, biologic therapeutics  and vaccines. The group employs over 23,000 people worldwide, including 1400 scientists engaged in  R & D, and is dedicated to creating healthier communities globally. www.zyduscadila.com",https://www.zyduslife.com/public/pdf/pressrelease/Zydus_USFDA_Malaria_Orphan_Drug_15_12_21_TW%20_16_12_2021.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
13 December 2021,"Zydus to begin Phase II (a) clinical trial of ZYIL1, a novel oral NLRP3 inflammasome inhibitor in patients with CryopyrinAssociated Periodic Syndrome (CAPS) in Australia","Zydus to begin Phase II (a) clinical trial of ZYIL1, a novel oral           NLRP3 inflammasome inhibitor in patients with Cryopyrin-              Associated Periodic Syndrome (CAPS) in Australia          CAPS is a rare life-long auto-inflammatory condition, caused by NLRP3 activating           mutations and is classified under orphan diseases.  Ahmedabad, India, 13th December, 2021  Zydus, a leading discovery-based, global pharmaceutical company announced today that it has received  permission to initiate the Phase II (a) clinical study of its NLRP3 inhibitor “ZYIL1” in patients with  Cryopyrin-Associated Periodic Syndrome (CAPS) in Australia. Phase II (a) clinical trial in Australia  will study the safety, tolerability, pharmacokinetics and pharmacodynamics in patients with Cryopyrin-  Associated Periodic Syndrome (CAPS).  Cryopyrin-Associated Periodic Syndrome (CAPS) is caused by NLRP3 activating mutations that cause  activation of the cryopyrin inflammasome and release of inflammatory cytokines including IL-1β.  Selective inhibition of NLRP3 could be beneficial, as NLRP3 inflammasomes are primarily involved  in the inflammation process in these patients.  CAPS is a rare life-long auto-inflammatory condition, and is classified under orphan diseases. The  chronic inflammation due to IL-1beta release in CAPS patients leads to urticaria-like rash, fever,  arthralgia, and increased risk of amyloidosis. CAPS patients also experience multiple neurological  complications like sensorineural hearing loss, migraine, headache, aseptic meningitis and myalgia.  Bone deformities and neurological impairment have been reported in Neonatal Onset Multisystem  Inflammatory Disease (NOMID), the most severe form of CAPS.  Mr. Pankaj R. Patel, Chairman, Cadila Healthcare Ltd. said, “The Cryopyrin Associated Periodic  Syndromes (CAPS) patient community has very limited treatment options and there is a huge unmet  medical need. We are committed to develop novel therapies, and ZYIL1 has potential to treat several  autoimmune diseases.”  ZYIL1 is a novel oral small molecule NLRP3 inhibitor. Studies have demonstrated that ZYIL1 has high  binding affinity in human whole blood, and can selectively supress inflammation caused by the NLRP3  inflammasome. In non-clinical species including mice, rats and non-human primates, ZYIL1 has  demonstrated brain penetration. The efficacy of ZYIL1 has been established in a number of validated  pre-clinical models of Neuroinflammation, Parkinson’s Disease, Inflammatory Bowel Disease (IBD),  Multiple Sclerosis (MS), Sepsis and acute lung injury models of Acute Respiratory Distress Syndrome  (ARDS). The candidate, ZYIL1, has an acceptable ADME profile, with good safety margin.  ZYIL1 was found to be safe and well-tolerated in Phase I trials [NCT04731324]. In the second Phase I  trial, Multiple-dose studies of ZYIL1 was conducted to evaluate the safety, tolerability,  pharmacokinetics (PK) and pharmacodynamics (PD) following repeated dosing for 14 days in healthy  subjects [NCT04972188]. ZYIL1 showed rapid oral absorption and steady state was achieved at 48h.  Inhibition of IL-1beta biomarker in Phase I trial demonstrated proof-of-biology.  About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops, manufactures  and markets a broad range of healthcare therapies, including small molecule drugs, biologic therapeutics  and vaccines. The group employs over 23,000 people worldwide, including 1400 scientists engaged in  R & D, and is dedicated to creating healthier communities globally. www.zyduscadila.com",https://www.zyduslife.com/public/pdf/pressrelease/ZYIL1%20_CAPS_NLRP3_13_12_2021.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
10 December 2021,Zydus Cadila receives tentative approval from USFDA for Cariprazine Capsules,"Zydus Cadila receives tentative approval from USFDA for                                 Cariprazine Capsules    Ahmedabad, India, 10 December, 2021    Zydus Cadila’s U.S. subsidiary Zydus Pharmaceuticals (USA) Inc. has received tentative approval from the  USFDA to market Cariprazine Capsules in the strengths of 1.5 mg, 3 mg and 4.5 mg, and 6 mg (US RLD:  VRAYLAR® ). Cariprazine is an atypical antipsychotic. Zydus’ Cariprazine Capsules are indicated for the  treatment of schizophrenia and acute treatment of manic or mixed episodes associated with bipolar disorder.  The drug will be manufactured at the group’s formulation manufacturing facility at the SEZ, Ahmedabad.    The group now has 325 approvals and has so far filed over 400 ANDAs since the commencement of the  filing process in FY 2003-04.      About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops, manufactures, and  markets a broad range of healthcare therapies. The group employs over 23000 people worldwide and is  dedicated to creating healthier communities globally.                                                          ***",https://www.zyduslife.com/public/pdf/pressrelease/Zydus%20Cadila%20receives%20tentative%20approval%20from%20USFDA%20for%20Cariprazine%20Capsules.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
10 December 2021,Zydus announces EPICS-IIITM Phase 2(b)/3 adaptive pivotal clinical trial of Saroglitazar Mg in PBC,"Zydus announces EPICS-IIITM Phase 2(b)/3 adaptive pivotal clinical                  trial of Saroglitazar Mg in PBC      Zydus has initiated a global pivotal Phase 2(b)/3 clinical trial in patients with Primary       Biliary Cholangitis (PBC) - EPICS-IIITM      Positive Results from the Phase 2(a) Clinical Trial Evaluating Saroglitazar Mg in       patients with NASH were published in the Journal of Hepatology  Ahmedabad, India, December 10, 2021  Zydus, a leading discovery based, global pharmaceutical company today announced that it has  received permission from the USFDA to initiate the Phase 2(b)/3 Prospective, Multi-centre,  Randomized, Double-blind, Placebo-controlled adaptive clinical trial to evaluate Efficacy and  Safety of Saroglitazar Magnesium in Subjects With Primary Biliary Cholangitis (PBC).  The EPICS-IIITM trial will randomise 192 subjects in a 1:1:1 ratio to Saroglitazar 1 mg,  Saroglitazar 2 mg or Placebo and will study the Saroglitazar Magnesium (1 or 2 mg) relative  to Placebo based on the composite endpoints of Alkaline Phosphatase (ALP),total bilirubin,  liver stiffness measurement (LSM) by FibroScan®, liver enzyme parameters (ALT, AST,  GGT, total bilirubin, and albumin), lipid parameters (TG, LDL-C, HDL-C, VLDL-C, total  cholesterol, and non-HDL-C), health related quality of life using PBC 40 questionnaire (a  patient-derived, disease specific quality of life measure developed and validated for use in  PBC) and other outcome measures over a period of 52 weeks [NCT05133336].The change in  Pruritus (60- 70 % of Patients with PBC liver disease develop systemic itch of the skin that  significantly impairs activity and sleep) will be studied using 5-Domains (5-D) itch scale,  Patient Global Impression of Change scale, Patient Global Therapeutic Benefit scale and  Patient Global Impression of Worst Itch Severity scale. The EPICS-IIITM Phase 2(b)/3 trial will  be led by Prof. Naga Chalasani, M.D., Interim Chair, Department of Medicine, Indiana  University School of Medicine as Principal Investigator.  Speaking on the new development, Chairman of Cadila Healthcare Ltd., Pankaj R. Patel said,  “Primary Biliary Cholangitis (PBC) is a severe liver disease leading to cirrhosis of the liver,  liver failure, and possibly death. PBC patients have limited treatment options and  approximately 50% of the PBC patients are not able to benefit from the existing therapy due to  lack of response or intolerable side effects. Based on the positive results from our earlier Phase  2 study, we have now initiated the pivotal EPICS III trial in both cirrhotic and non-cirrhotic  PBC patients.”  The Phase 2(a) EPICS trials results published in Journal of Hepatology has demonstrated that  Saroglitazar holds immense potential based on its safety and efficacy profile. The global market  for PBC treatment is expected to grow at a CAGR of 36.3% from 2018 – 2026, and is expected  to reach USD 10.8 bn by 2026 as per Coherent market insights.  Saroglitazar Mg is an investigational compound in the USA, and is yet to be approved by the  U.S. Food & Drug Administration (USFDA) or European Medicines Agency (EMA). The  USFDA has granted ‘Orphan Drug Designation’ and ‘Fast Track Designation’ to  SaroglitazarMg for PBC. The European Medicines Agency (EMA) has designated  ""Saroglitazar Magnesium"" with Orphan status for Treatment of Primary Biliary Cholangitis.  Orphan drug designation provides eligibility for certain development incentives, regulatory fee  exemptions, seven-year marketing exclusivity upon USFDA approval and a 10-year period of  market exclusivity if the treatment eventually is approved by EMA.      Primary Biliary Cholangitis (PBC) Publications     •       Vuppalanchi R, Caldwell SH, Pyrsopoulos N, deLemos AS, Rossi S, Levy C,             Goldberg DS, Mena EA, Sheikh A, Ravinuthala R, Shaikh F, Bainbridge JD,             Parmar DV, Chalasani NP. Proof-of-concept study to evaluate the safety and             efficacy of saroglitazar in patients with primary biliary cholangitis. J Hepatol. 2021             Sep 3:S0168-8278(21)02023-7. doi: 10.1016/j.jhep.2021.08.025. Epub ahead of             print. PMID: 34487750.     •       Vuppalanchi R, González-Huezo MS, Payan-Olivas R, Muñoz-Espinosa LE,             Shaikh F, Pio Cruz-Lopez JL, Parmar D. A Multicenter, Open-Label, Single-Arm             Study to Evaluate the Efficacy and Safety of Saroglitazar in Patients With Primary             Biliary Cholangitis. Clin Transl Gastroenterol. 2021 Mar 26;12(4):e00327. doi:             10.14309/ctg.0000000000000327.PMID: 3376935      About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops,  manufactures and markets a broad range of healthcare therapies, including small molecule  drugs, biologic therapeutics and vaccines. The group employs over 23,000 people worldwide,  including 1400 scientists engaged in R & D, and is dedicated to creating healthier communities  globally. www.zyduscadila.com",https://www.zyduslife.com/public/pdf/pressrelease/Press%20Release%20%20Saroglitazar%20Mg%20Clinical%20Trials%20EPICS-III%20for%20PBC.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
06 December 2021,Together We Fly Quilt Press Note,"Hon’ble Chief Minister of Gujarat Shri. Bhupendrabhai   Patel unveils the message of hope and optimism with  Together We Fly, the public art installation at the Zydus                      Corporate Park    • Dedicates the largest ever handmade COVID art quilt spanning    over 22000 square feet to thousands of Corona Warriors    Ahmedabad, December 5, 2021,  The Hon’ble Chief Minister of Gujarat, Shri. Bhupendrabhai Patel, today paid a  tribute to the Corona Warriors and the public at large with a message of hope,  optimism and inspiration at the Zydus Corporate Park. Unveiling a mammoth art  installation which brings together the thoughts, feelings and expressions of people  from across Gujarat and the nation, the Chief Minister dedicated ‘Together We  Fly’ to the Corona Warriors, spirit of the people and the way they stood together  in these challenging times.  Made up of 15000 unique expressions, ‘Together We Fly’, covers an expanse  of over 262 feet in width and 85 feet in height and adorns the façade of the  iconic corporate headquarters of the Zydus Group. Woven together as a quilt,  the individual pieces of art, poetry, calligraphy, photographs, handwritten notes  reflecting the spirit of the times from the beginning of the pandemic through the  second wave, is at once reminiscing and hopeful of the times to come.  This special initiative has been co-created by Ms. Meha Patel, an art connoisseur,  designer and entrepreneur from the family of the Zydus promoters, Ms. Dia  Mehhta Bhupal and Ms. Neha Modi the founders of the Corona Quilt Project  (CQP).  Speaking on the occasion, Chairman, Zydus Group, Mr. Pankaj R. Patel, said  “All through the pandemic, we have been supporting people with diagnostics,   therapeutics and the vaccine. We also saw the need to engage and connect with    people with a message of hope and optimism that together we will be able to      overcome these challenging times.”       The installation is a tribute through art to all the Corona Warriors including         doctors, researchers, nurses, paramedics, healthcare fraternity at large             and law enforcement who stood united in their message of hope and                  optimism during the pandemic.  About Zydus Cadila  Zydus Cadila is an innovative, global pharmaceutical company that discovers,  develops, manufactures, and markets a broad range of healthcare therapies  including small molecule drugs, biologic therapeutics, and vaccines. The group  employs over 23000 people worldwide and is dedicated to creating healthier  communities globally. For more information, please visit www.zyduscadila.com/  About Together We Fly  Together We Fly served as a way for thousands of individuals comprising doctors,  nurses, frontline warriors, students, teachers, homemakers, artists, sculptors,  graphic artistes to come together in a shared personal experience, even while  they were socially distanced. This is even more special as the Zydus community  was at the forefront of developing the vaccine through which they have shown  immense resilience as people, and as a community. This project culminates as a  physical representation of their incredible strength and perseverance.  “Together we fly, has been inspired by birds, which symbolize collaboration,  teamwork, unity, protection, strength and above all - freedom. Along with the  metaphor of the birds, I chose a blue sky which represents, that despite the  differences in our individual circumstances or geographies, we are united by a  larger purpose and a vision for the future.”- Ms. Dia Mehhta Bhupal, Creative  Director, Corona Quilt Project                                            ***",https://www.zyduslife.com/public/pdf/pressrelease/Together_We_Fly_Quilt_Pressnote_Eng.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
23 November 2021,"Zydus develops new treatment for patients suffering from Chronic Kidney Disease (CKD), submits first New Drug Application (NDA) to DCGI","Zydus develops new treatment for patients suffering from Chronic Kidney        Disease (CKD), submits first New Drug Application (NDA) to DCGI      Desidustat is an oral alternative to injectable erythropoietin-stimulating agents (ESAs) for the      Treatment of Anemia Due to Chronic Kidney Disease in Patients on Dialysis and Not on Dialysis    Ahmedabad, India, November 23, 2021  Zydus Cadila, an innovation-driven, global pharmaceutical company, today announced that it has  submitted the New Drug Application (NDA) to the Drug Controller General of India for Desidustat, an  oral small molecule hypoxia-inducible factor prolyl hydroxylase (HIF-PH) inhibitor for treatment of  anaemia in patients with Chronic Kidney Disease (CKD) who are on Dialysis and Not on Dialysis.  Chronic Kidney Disease is a serious progressive medical condition which is a global unmet healthcare  need involving gradual loss of functioning of kidneys eventually leading to kidney failure. It has been  reported that 114 million people in India, 132 million people in China, 38 million people in the United  States, 21 million patients in Japan and 41 million people in Western Europe are estimated to be living  with Chronic Kidney Disease (Lancet 2020; 395: 709–33).  The NDA for Desidustat is based on positive data from the DREAM-ND and DREAM-D Phase 3 trials  in patients with Chronic Kidney Disease (CKD) Not on Dialysis and on Dialysis.           The DREAM-ND Phase III trial of 588 CKD patients not-on-dialysis compared Desidustat          versus Darbepoietin alpha injection [ClinicalTrials.gov Identifier: NCT04012957]. In the          Desidustat group, mean Hb increased and reached the predefined target of 10.0–12.0 g/dl in          patients and was maintained within the target range for 24 weeks. The study demonstrated the          noninferiority of Desidustat compared to Darbepoetin in the treatment of anemia in patients          with CKD who were not on dialysis.         The DREAM-D Phase III trial of 392 CKD patients on Dialysis compared Desidustat tablet          versus Epoetin alfa injection [ClinicalTrials.gov Identifier: NCT04215120]. In the Desidustat          group, mean Hb increased and reached the predefined target of 10.0–12.0 g/dl in patients and          was maintained within the target range for 24 weeks. The study demonstrated the noninferiority          of Desidustat compared to Epoetin in the treatment of anemia in patients with CKD who were          on dialysis.  Desidustat met its primary efficacy endpoint in both Phase 3 trials, DREAM-ND and DREAM-D,  conducted in Chronic Kidney Disease (CKD) patients on Dialysis and Not on Dialysis. The data will  be presented at upcoming scientific meetings and published in peer-reviewed scientific journals.  “We are excited by this important milestone and thankful to all the patients, investigators, regulators  and scientists, who led the discovery and development of Desidustat over the last decade. Desidustat  has the potential to provide an oral, safer alternative to currently available injectable erythropoietin-  stimulating agents (ESAs), by additionally reducing hepcidin, reducing inflammation, and better iron  mobilisation. With patient-centricity at the core of all that we do, we have been looking at innovative  approaches to improving the quality of life of patients and bridging unmet needs and with Desidustat  we have taken yet another step in this direction. ” said, Mr. Pankaj R. Patel, Chairman, Cadila  Healthcare Ltd.  Desidustat had previously met its primary endpoints in the Phase II clinical studies and showed good  safety profile, endogenous production of erythropoietin, downregulation of hepcidin, improved iron  mobilization in CKD patients. The Phase I trials were earlier completed in Australia. Desidustat is also  under clinical trials for Cancer Chemotherapy Induced Anemia (CIA) [ClinicalTrials.gov Identifier:  NCT04667533].  The data of Desidustat (ZYAN1) has so far been published in various peer-reviewed scientific journals  of repute such as American Journal of Nephrology, Clin Pharmacokinet, European Journal of  Pharmacology, Journal of Medicinal Chemistry , Drug Dev Res, Drug Res (Stuttg) and Xenobiotica.      Publications on Desidustat (ZYAN1):      1. Outcomes of Desidustat Treatment in People with Anemia and Chronic Kidney Disease: A         Phase 2 Study. Am J Nephrol. 2019;49:470–478.      2. Phase I Clinical Study of ZYAN1, A Novel Prolyl-Hydroxylase (PHD) Inhibitor to Evaluate         the Safety, Tolerability, and Pharmacokinetics Following Oral Administration in Healthy         Volunteers. Clin Pharmacokinet. 2018 Jan; 57(1):87-102.      3. Pharmacological Characterization of ZYAN1, a Novel Prolyl Hydroxylase Inhibitor for the         Treatment of Anemia. Drug Res (Stuttg). 2016 Feb; 66(2):107-12.      4. Influence of acute and chronic kidney failure in rats on the disposition and pharmacokinetics         of ZYAN1, a novel prolyl hydroxylase inhibitor, for the treatment of chronic kidney disease         induced anemia. Xenobiotica. 2018 Jan; 48(1):37-44.      5. A sensitive assay for ZYAN1 in human whole blood and urine utilizing positive LC-MS/MS         electrospray ionization. Bioanalysis. 2017 May; 9(9):719-732.      6. Pharmacological inhibition of prolyl hydroxylase protects against inflammation-induced         anemia via efficient erythropoiesis and hepcidin downregulation. Eur J Pharmacol. 2019 Jan         15; 843:113-120.      7. Prolyl Hydroxylase Inhibitors: A Breakthrough in the Therapy of Anemia Associated with         Chronic Diseases. J Med Chem. 2018 Aug 23; 61(16):6964-6982.      8. Prolyl hydroxylase inhibitor desidustat protects against acute and chronic kidney injury by         reducing inflammatory cytokines and oxidative stress. Drug Dev Res. 2021; 1–9.      About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops, manufactures  and markets a broad range of healthcare therapies, including small molecule drugs, biologic therapeutics  and vaccines. The group employs nearly 23,000 people worldwide, including 1,400 scientists engaged  in R & D, and is dedicated to creating healthier communities globally. www.zyduscadila.com",https://www.zyduslife.com/public/pdf/pressrelease/Desidustat_NDA-Press-Release.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
18 November 2021,"Zydus Cadila gets 180-day exclusivity for Nelarabine injection, announces final approval from USFDA","Zydus Cadila gets 180-day exclusivity for Nelarabine injection,                  announces final approval from USFDA    November 18, 2021, Ahmedabad, India    Zydus Cadila has received final approval from the USFDA to market Nelarabine Injection 250MG/50ML in the  United States (US RLD: Arranon®). Zydus Pharmaceuticals USA Inc (Zydus) was granted a Competitive Generic  Therapy (CGT) designation for Nelarabine Injection, 250 mg/50 mL (5 mg/mL), Single-Dose Vial. Zydus is the  “first approved applicant” for Nelarabine Injection, 250 mg/50 mL (5 mg/mL), Single-Dose Vial, as defined in  section 505(j)(5)(B)(v)(III) of the FD&C Act. Therefore, with this approval, Zydus is eligible for 180 days of CGT  exclusivity for Nelarabine Injection, 250 mg/50 mL (5 mg/mL), Single-Dose Vial, under section 505(j)(5)(B)(v)  of the FD&C Act.    Nelarabine Injection had annual sales of approximately $34.5 million in the United States according to IQVIA  data (September 2021). The drug is manufactured at the group’s injection manufacturing facility, Alidac plant in  Ahmedabad and shall be launched commercially within the US market immediately.    This medication is a chemotherapy drug and used to treat certain types of leukemia and lymphoma by slowing or  stopping the growth of cancer cells. Nelarabine is in a class of medications called antimetabolites.    Speaking on the development, Dr. Sharvil Patel, Managing Director, Cadila Healthcare Ltd., said, “This FDA  approval of Nelarabine Injection underlines our long-term commitment to patients of providing them access to  affordable generics. This approval builds on our proven track-record of successfully commercializing and gaining  meaningful market share in complex generics products. We have created a diversified portfolio of more than 50  filed complex ANDAs and will continue to focus on complex generic products as we continue to explore  opportunities to grow our US business.”    Zydus, in addition to their complex injectable products, has created an industry leading portfolio of difficult to  develop oral solids, drug device combinations, topicals, and transdermal patch products. The group now has 325  approvals and has so far filed over 400 ANDAs since the commencement of the filing process in FY 2003-  04.    About Zydus Cadila  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops, manufactures, and  markets a broad range of healthcare therapies including small molecule drugs, biologic therapeutics, and  vaccines. The group employs 23,000 people worldwide and is dedicated to creating healthier communities  globally. For more information, please visit www.zyduscadila.com",https://www.zyduslife.com/public/pdf/pressrelease/Press_Release_ZC_gets_180_day_exclusivity_for_Nelarabine_injection_announces_final_approval_from_USFDA.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
10 November 2021,Zydus Cadila receives final approval from USFDA for Glycopyrrolate Injection,"Zydus Cadila receives final approval from USFDA for                                  Glycopyrrolate Injection    Ahmedabad, India, 10 November, 2021    Zydus Cadila has received final approval from the USFDA to market Glycopyrrolate Injection in the strengths  of 0.2 mg/mL and 0.4 mg/2 mL (0.2 mg/mL) Single-Dose Vials and 1 mg/5 mL (0.2 mg/mL) and 4 mg/20  mL (0.2 mg/mL) Multiple-Dose Vials, (US RLD: Robinul). Glycopyrrolate is used before surgery to decrease  the volume of secretions from mouth, lungs and stomach. It can also be used either before or during surgery  to maintain heart’s normal beating rhythm. It is also used to counter the effects of some other medicines,  which can slow heartbeat or produce excessive secretions when used during surgery. Glycopyrrolate injection  can also be used in adults as an adjunctive therapy for the treatment of gastrointestinal ulcer when rapid effect  is desired or when oral medication is not tolerated. The drug will be manufactured at the group’s injectables  manufacturing facility at CHL-Jarod, near Vadodara (earlier known as Liva Pharmaceuticals Ltd.).    The group now has 324 approvals and has so far filed over 400 ANDAs since the commencement of the filing  process in FY 2003-04.      About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops, manufactures, and  markets a broad range of healthcare therapies. The group employs over 23000 people worldwide and is  dedicated to creating healthier communities globally.                                                          ***",https://www.zyduslife.com/public/pdf/pressrelease/Zydus-Cadila-receives-final-approval-from-USFDA-for-Glycopyrrolate-Injection.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
08 November 2021,"Cadila Healthcare Ltd., to supply 1 crore doses of ZyCoV-D, the world’s first Plasmid DNA vaccine to the Government of India","Cadila Healthcare Ltd., to supply 1 crore doses of ZyCoV-D, the     world’s first Plasmid DNA vaccine to the Government of India  Ahmedabad, November 8, 2021    Zydus Cadila has received an order to supply one crore doses of ZyCoV-D, the world’s first  Plasmid DNA Vaccine, to the Government of India at Rs. 265 per dose and the needle-free  applicator being offered at Rs. 93 per dose, excluding GST. The pricing has been decided in  consultation with the Government of India.  Speaking on the development, Managing Director of the company, Dr. Sharvil Patel said, “We  are happy to support the Government’s vaccination programme with ZyCoV-D. The needle-  free application of the vaccination, we hope, will motivate many more to vaccinate and  safeguard themselves from COVID-19, especially children and young adults in the age group  of 12 to 18 years.”  ZyCoV-D is the first DNA plasmid vaccine in the world for human use, developed  indigenously by the company against the Covid-19 virus. It is also the first COVID-19 vaccine  which is needle-free and administered using The PharmaJet® a needle free applicator to ensure  painless intradermal vaccine delivery which also leads to a significant reduction in any kind of  major side effects.  ZyCoV-D has shown good stability at temperatures of around 25 degrees for atleast three  months. The thermostability of the vaccine will help in easy transportation and storage of the  vaccine without any problems of fluctuations in temperature. For prolonged use, a temperature  of 2-8 degrees is sufficient. Also being a DNA plasmid vaccine, ZyCoV-D doesn’t have any  problem associated with vector based immunity. The DNA Plasmid platform allows generating  new construct quickly to deal with mutations in the virus.  About Zydus  Zydus Cadila is an innovative, global pharmaceutical company that discovers, develops,  manufactures, and markets a broad range of healthcare therapies. The group employs over  23000 people worldwide and is dedicated to creating healthier communities globally.",https://www.zyduslife.com/public/pdf/pressrelease/Press-Release-Cadila-Healthcare-Ltd-to-supply-1-crore-doses-of-ZyCoV-D.pdf,https://www.zyduslife.com/public/images/zydus-logo.png,Zyduslife
